idiom,label,count
var_24 = dword ptr -24h  | * | var_1C = dword ptr -1Ch ,data,1
var_95 = byte ptr -95h  | * | var_90 = dword ptr -90h ,data,1
var_94 = dword ptr -94h  | * | var_8C = dword ptr -8Ch ,data,1
var_90 = dword ptr -90h  | * | var_88 = dword ptr -88h ,data,1
var_8C = dword ptr -8Ch  | * | var_84 = dword ptr -84h ,data,1
var_88 = dword ptr -88h  | * | var_80 = dword ptr -80h ,data,1
var_84 = dword ptr -84h  | * | var_7C = dword ptr -7Ch ,data,1
var_80 = dword ptr -80h  | * | var_78 = qword ptr -78h ,data,1
var_7C = dword ptr -7Ch  | * | var_70 = qword ptr -70h ,data,1
var_78 = qword ptr -78h  | * | var_68 = dword ptr -68h ,data,1
var_70 = qword ptr -70h  | * | var_64 = dword ptr -64h ,data,1
var_68 = dword ptr -68h  | * | var_60 = dword ptr -60h ,data,1
var_64 = dword ptr -64h  | * | var_59 = byte ptr -59h ,data,1
var_60 = dword ptr -60h  | * | var_58 = qword ptr -58h ,data,1
var_59 = byte ptr -59h  | * | var_50 = qword ptr -50h ,data,1
var_58 = qword ptr -58h  | * | var_48 = qword ptr -48h ,data,1
var_50 = qword ptr -50h  | * | var_40 = qword ptr -40h ,data,1
var_48 = qword ptr -48h  | * | var_38 = qword ptr -38h ,data,1
var_40 = qword ptr -40h  | * | var_2C = dword ptr -2Ch ,data,1
var_38 = qword ptr -38h  | * | var_28 = qword ptr -28h ,data,1
var_2C = dword ptr -2Ch  | * | var_20 = qword ptr -20h ,data,1
var_28 = qword ptr -28h  | * | var_18 = qword ptr -18h ,data,1
var_20 = qword ptr -20h  | * | var_10 = qword ptr -10h ,data,1
var_18 = qword ptr -18h  | * | var_8 = qword ptr -8 ,data,1
"push rbp  | * | sub rsp, 0D0h ",xcode,1
"mov rbp, rsp  | * | lea rdi, aESmallIn  ",xcode,1
"sub rsp, 0D0h  | * | lea rsi, aR  ",xcode,1
"lea rdi, aESmallIn   | * | mov [rbp+var_60], 0 ",xcode,1
"lea rsi, aR   | * | call _fopen ",xcode,1
"mov [rbp+var_60], 0  | * | lea rdi, aESmallOut  ",xcode,1
"call _fopen  | * | lea rsi, aW  ",xcode,1
"lea rdi, aESmallOut   | * | mov [rbp+var_70], rax ",xcode,1
"lea rsi, aW   | * | call _fopen ",xcode,1
"mov [rbp+var_70], rax  | * | lea rsi, aD  ",xcode,1
"call _fopen  | * | lea rdx, [rbp+var_68] ",xcode,1
"lea rsi, aD   | * | mov [rbp+var_78], rax ",xcode,1
"lea rdx, [rbp+var_68]  | * | mov rdi, [rbp+var_70]  ",xcode,1
"mov [rbp+var_78], rax  | * | mov al, 0 ",xcode,1
"mov rdi, [rbp+var_70]   | * | call _fscanf ",xcode,2
"mov al, 0  | * | mov [rbp+var_64], 0 ",xcode,1
"call _fscanf  | * | mov [rbp+var_8C], eax ",xcode,1
"mov [rbp+var_64], 0  | * | loc_100001673:  ",xcode,1
"mov [rbp+var_8C], eax  | * | mov eax, [rbp+var_64] ",xcode,1
"loc_100001673:   | * | cmp eax, [rbp+var_68] ",xcode,1
"mov eax, [rbp+var_64]  | * | jge loc_100001ECC ",xcode,1
"cmp eax, [rbp+var_68]  | * | lea rsi, aDD  ",xcode,1
"jge loc_100001ECC  | * | lea rdx, _m ",xcode,1
"lea rsi, aDD   | * | lea rcx, _n ",xcode,1
"lea rdx, _m  | * | mov [rbp+var_7C], 0 ",xcode,1
"lea rcx, _n  | * | mov rdi, [rbp+var_70]  ",xcode,1
"mov [rbp+var_7C], 0  | * | mov al, 0 ",xcode,1
"mov al, 0  | * | mov [rbp+var_80], 0 ",xcode,1
"call _fscanf  | * | mov [rbp+var_90], eax ",xcode,1
"mov [rbp+var_80], 0  | * | loc_1000016B3:  ",xcode,1
"mov [rbp+var_90], eax  | * | cmp [rbp+var_80], 14h ",xcode,1
loc_1000016B3:   | * | jge loc_100001725 ,xcode,1
"cmp [rbp+var_80], 14h  | * | mov [rbp+var_84], 0 ",xcode,1
jge loc_100001725  | * | loc_1000016CA:  ,xcode,1
"mov [rbp+var_84], 0  | * | cmp [rbp+var_84], 14h ",xcode,1
loc_1000016CA:   | * | jge loc_100001710 ,xcode,1
"cmp [rbp+var_84], 14h  | * | lea rax, _C ",xcode,1
"jge loc_100001710  | * | movsxd rcx, [rbp+var_84] ",xcode,1
"lea rax, _C  | * | movsxd rdx, [rbp+var_80] ",xcode,2
"movsxd rcx, [rbp+var_84]  | * | imul rdx, 14h ",xcode,3
"movsxd rdx, [rbp+var_80]  | * | add rax, rdx ",xcode,3
"imul rdx, 14h  | * | mov byte ptr [rax+rcx], 2Eh  ",xcode,1
"add rax, rdx  | * | mov eax, [rbp+var_84] ",xcode,1
"mov byte ptr [rax+rcx], 2Eh   | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_84]  | * | mov [rbp+var_84], eax ",xcode,5
"add eax, 1  | * | jmp loc_1000016CA ",xcode,1
"mov [rbp+var_84], eax  | * | loc_100001710:  ",xcode,1
jmp loc_1000016CA  | * | jmp $+5 ,xcode,1
loc_100001710:   | * | loc_100001715:  ,xcode,1
"jmp $+5  | * | mov eax, [rbp+var_80] ",xcode,7
"loc_100001715:   | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_80]  | * | mov [rbp+var_80], eax ",xcode,7
"add eax, 1  | * | jmp loc_1000016B3 ",xcode,1
"mov [rbp+var_80], eax  | * | loc_100001725:  ",xcode,1
"jmp loc_1000016B3  | * | mov [rbp+var_80], 0 ",xcode,1
loc_100001725:   | * | loc_10000172C:  ,xcode,1
"mov [rbp+var_80], 0  | * | mov eax, [rbp+var_80] ",xcode,6
"loc_10000172C:   | * | cmp eax, cs:_m ",xcode,1
"mov eax, [rbp+var_80]  | * | jge loc_10000186D ",xcode,1
"cmp eax, cs:_m  | * | mov [rbp+var_84], 0 ",xcode,1
jge loc_10000186D  | * | loc_100001745:  ,xcode,1
"mov [rbp+var_84], 0  | * | mov eax, [rbp+var_84] ",xcode,3
"loc_100001745:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_84]  | * | jge loc_100001858 ",xcode,1
"cmp eax, cs:_n  | * | jmp $+5 ",xcode,1
jge loc_100001858  | * | loc_10000175C:  ,xcode,1
"jmp $+5  | * | lea rsi, aC  ",xcode,1
"loc_10000175C:   | * | lea rax, _C ",xcode,1
"lea rsi, aC   | * | mov rdi, [rbp+var_70]  ",xcode,1
"lea rax, _C  | * | movsxd rcx, [rbp+var_84] ",xcode,1
"mov rdi, [rbp+var_70]   | * | movsxd rdx, [rbp+var_80] ",xcode,1
"imul rdx, 14h  | * | add rax, rcx ",xcode,1
"add rax, rdx  | * | mov rdx, rax ",xcode,1
"add rax, rcx  | * | mov al, 0 ",xcode,1
"mov rdx, rax  | * | call _fscanf ",xcode,1
"mov al, 0  | * | mov [rbp+var_94], eax ",xcode,1
"call _fscanf  | * | mov al, 0 ",xcode,1
"mov [rbp+var_94], eax  | * | lea rcx, _C ",xcode,1
"mov al, 0  | * | movsxd rdx, [rbp+var_84] ",xcode,2
"lea rcx, _C  | * | movsxd rsi, [rbp+var_80] ",xcode,3
"movsxd rdx, [rbp+var_84]  | * | imul rsi, 14h ",xcode,3
"movsxd rsi, [rbp+var_80]  | * | add rcx, rsi ",xcode,2
"imul rsi, 14h  | * | movsx edi, byte ptr [rcx+rdx] ",xcode,2
"add rcx, rsi  | * | cmp edi, 2Eh  ",xcode,1
"movsx edi, byte ptr [rcx+rdx]  | * | mov [rbp+var_95], al ",xcode,2
"cmp edi, 2Eh   | * | jz loc_10000182F ",xcode,1
"mov [rbp+var_95], al  | * | mov al, 0 ",xcode,1
"jz loc_10000182F  | * | lea rcx, _C ",xcode,1
"add rcx, rsi  | * | cmp edi, 23h  ",xcode,1
"cmp edi, 23h   | * | jz loc_10000182F ",xcode,1
"mov [rbp+var_95], al  | * | lea rax, _C ",xcode,1
"jz loc_10000182F  | * | movsxd rcx, [rbp+var_84] ",xcode,1
"imul rdx, 14h  | * | movsx esi, byte ptr [rax+rcx] ",xcode,3
"add rax, rdx  | * | cmp esi, 3Fh  ",xcode,1
"movsx esi, byte ptr [rax+rcx]  | * | setnz dil ",xcode,1
"cmp esi, 3Fh   | * | mov [rbp+var_95], dil ",xcode,1
setnz dil  | * | loc_10000182F:  ,xcode,1
"mov [rbp+var_95], dil  | * | mov al, [rbp+var_95] ",xcode,1
"loc_10000182F:   | * | test al, 1 ",xcode,1
"mov al, [rbp+var_95]  | * | jnz loc_10000175C ",xcode,1
"test al, 1  | * | jmp $+5 ",xcode,1
jnz loc_10000175C  | * | loc_100001842:  ,xcode,1
"jmp $+5  | * | mov eax, [rbp+var_84] ",xcode,2
"loc_100001842:   | * | add eax, 1 ",xcode,1
"add eax, 1  | * | jmp loc_100001745 ",xcode,1
"mov [rbp+var_84], eax  | * | loc_100001858:  ",xcode,1
jmp loc_100001745  | * | jmp $+5 ,xcode,1
loc_100001858:   | * | loc_10000185D:  ,xcode,1
"loc_10000185D:   | * | add eax, 1 ",xcode,1
"add eax, 1  | * | jmp loc_10000172C ",xcode,1
"mov [rbp+var_80], eax  | * | loc_10000186D:  ",xcode,1
"jmp loc_10000172C  | * | mov eax, cs:_m ",xcode,1
"loc_10000186D:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, cs:_m  | * | jge loc_1000019B0 ",xcode,1
"cmp eax, cs:_n  | * | mov [rbp+var_80], 0 ",xcode,1
jge loc_1000019B0  | * | loc_100001886:  ,xcode,1
"loc_100001886:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_80]  | * | jge loc_100001961 ",xcode,1
"cmp eax, cs:_n  | * | mov eax, [rbp+var_80] ",xcode,1
"jge loc_100001961  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_80]  | * | mov [rbp+var_84], eax ",xcode,1
"add eax, 1  | * | loc_1000018A3:  ",xcode,1
"mov [rbp+var_84], eax  | * | mov eax, [rbp+var_84] ",xcode,1
"loc_1000018A3:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_84]  | * | jge loc_10000194C ",xcode,1
"cmp eax, cs:_n  | * | lea rax, [rbp+var_59] ",xcode,1
"jge loc_10000194C  | * | lea rcx, _C ",xcode,1
"lea rax, [rbp+var_59]  | * | movsxd rdx, [rbp+var_84] ",xcode,1
"movsxd rsi, [rbp+var_80]  | * | mov rdi, rcx ",xcode,1
"imul rsi, 14h  | * | add rdi, rsi ",xcode,1
"mov rdi, rcx  | * | add rdi, rdx ",xcode,1
"add rdi, rsi  | * | movsxd rdx, [rbp+var_80] ",xcode,1
"add rdi, rdx  | * | movsxd rsi, [rbp+var_84] ",xcode,1
"movsxd rdx, [rbp+var_80]  | * | imul rsi, 14h ",xcode,1
"movsxd rsi, [rbp+var_84]  | * | add rcx, rsi ",xcode,1
"imul rsi, 14h  | * | add rcx, rdx ",xcode,1
"add rcx, rsi  | * | mov [rbp+var_50], rdi ",xcode,1
"add rcx, rdx  | * | mov [rbp+var_58], rcx ",xcode,1
"mov [rbp+var_50], rdi  | * | mov rcx, [rbp+var_50] ",xcode,1
"mov [rbp+var_58], rcx  | * | mov [rbp+var_48], rcx ",xcode,1
"mov rcx, [rbp+var_50]  | * | mov rcx, [rbp+var_48] ",xcode,1
"mov [rbp+var_48], rcx  | * | mov r8b, [rcx] ",xcode,1
"mov rcx, [rbp+var_48]  | * | mov [rbp+var_59], r8b ",xcode,1
"mov r8b, [rcx]  | * | mov rcx, [rbp+var_58] ",xcode,1
"mov [rbp+var_59], r8b  | * | mov [rbp+var_38], rcx ",xcode,1
"mov rcx, [rbp+var_58]  | * | mov rcx, [rbp+var_38] ",xcode,1
"mov [rbp+var_38], rcx  | * | mov r8b, [rcx] ",xcode,1
"mov rcx, [rbp+var_38]  | * | mov rcx, [rbp+var_50] ",xcode,1
"mov r8b, [rcx]  | * | mov [rcx], r8b ",xcode,1
"mov rcx, [rbp+var_50]  | * | mov [rbp+var_40], rax ",xcode,1
"mov [rcx], r8b  | * | mov rax, [rbp+var_40] ",xcode,1
"mov [rbp+var_40], rax  | * | mov r8b, [rax] ",xcode,1
"mov rax, [rbp+var_40]  | * | mov rax, [rbp+var_58] ",xcode,1
"mov r8b, [rax]  | * | mov [rax], r8b ",xcode,1
"mov rax, [rbp+var_58]  | * | mov eax, [rbp+var_84] ",xcode,1
"mov [rax], r8b  | * | add eax, 1 ",xcode,1
"add eax, 1  | * | jmp loc_1000018A3 ",xcode,1
"mov [rbp+var_84], eax  | * | loc_10000194C:  ",xcode,1
jmp loc_1000018A3  | * | jmp $+5 ,xcode,1
loc_10000194C:   | * | loc_100001951:  ,xcode,1
"loc_100001951:   | * | add eax, 1 ",xcode,1
"add eax, 1  | * | jmp loc_100001886 ",xcode,1
"mov [rbp+var_80], eax  | * | loc_100001961:  ",xcode,1
"jmp loc_100001886  | * | lea rax, [rbp+var_2C] ",xcode,1
"loc_100001961:   | * | lea rcx, _m ",xcode,1
"lea rax, [rbp+var_2C]  | * | lea rdx, _n ",xcode,1
"lea rcx, _m  | * | mov [rbp+var_20], rdx ",xcode,1
"lea rdx, _n  | * | mov [rbp+var_28], rcx ",xcode,1
"mov [rbp+var_20], rdx  | * | mov rcx, [rbp+var_20] ",xcode,1
"mov [rbp+var_28], rcx  | * | mov [rbp+var_18], rcx ",xcode,1
"mov rcx, [rbp+var_20]  | * | mov rcx, [rbp+var_18] ",xcode,1
"mov [rbp+var_18], rcx  | * | mov esi, [rcx] ",xcode,1
"mov rcx, [rbp+var_18]  | * | mov [rbp+var_2C], esi ",xcode,1
"mov esi, [rcx]  | * | mov rcx, [rbp+var_28] ",xcode,1
"mov [rbp+var_2C], esi  | * | mov [rbp+var_8], rcx ",xcode,1
"mov rcx, [rbp+var_28]  | * | mov rcx, [rbp+var_8] ",xcode,1
"mov [rbp+var_8], rcx  | * | mov esi, [rcx] ",xcode,1
"mov rcx, [rbp+var_8]  | * | mov rcx, [rbp+var_20] ",xcode,1
"mov esi, [rcx]  | * | mov [rcx], esi ",xcode,1
"mov rcx, [rbp+var_20]  | * | mov [rbp+var_10], rax ",xcode,1
"mov [rcx], esi  | * | mov rax, [rbp+var_10] ",xcode,1
"mov [rbp+var_10], rax  | * | mov esi, [rax] ",xcode,1
"mov rax, [rbp+var_10]  | * | mov rax, [rbp+var_28] ",xcode,1
"mov esi, [rax]  | * | mov [rax], esi ",xcode,1
"mov rax, [rbp+var_28]  | * | loc_1000019B0:  ",xcode,1
"mov [rax], esi  | * | mov [rbp+var_84], 0 ",xcode,1
loc_1000019B0:   | * | loc_1000019BA:  ,xcode,1
"loc_1000019BA:   | * | cmp eax, cs:_m ",xcode,1
"mov eax, [rbp+var_84]  | * | jge loc_1000019F7 ",xcode,1
"cmp eax, cs:_m  | * | lea rax, _sAA ",xcode,1
"jge loc_1000019F7  | * | movsxd rcx, [rbp+var_84] ",xcode,1
"lea rax, _sAA  | * | mov dword ptr [rax+rcx*4], 0 ",xcode,1
"movsxd rcx, [rbp+var_84]  | * | mov eax, [rbp+var_84] ",xcode,1
"mov dword ptr [rax+rcx*4], 0  | * | add eax, 1 ",xcode,1
"add eax, 1  | * | jmp loc_1000019BA ",xcode,1
"mov [rbp+var_84], eax  | * | loc_1000019F7:  ",xcode,1
"jmp loc_1000019BA  | * | mov [rbp+var_84], 0 ",xcode,1
loc_1000019F7:   | * | loc_100001A01:  ,xcode,1
"loc_100001A01:   | * | cmp eax, cs:_m ",xcode,1
"mov eax, [rbp+var_84]  | * | jge loc_100001CD5 ",xcode,1
"cmp eax, cs:_m  | * | mov [rbp+var_88], 0 ",xcode,1
jge loc_100001CD5  | * | loc_100001A1D:  ,xcode,1
"mov [rbp+var_88], 0  | * | mov eax, 1 ",xcode,2
"loc_100001A1D:   | * | mov ecx, [rbp+var_88] ",xcode,1
"mov eax, 1  | * | mov edx, cs:_n ",xcode,2
"mov ecx, [rbp+var_88]  | * | mov [rbp+var_9C], ecx ",xcode,1
"mov edx, cs:_n  | * | mov ecx, edx ",xcode,2
"mov [rbp+var_9C], ecx  | * | shl eax, cl ",xcode,1
"mov ecx, edx  | * | mov edx, [rbp+var_9C] ",xcode,1
"shl eax, cl  | * | cmp edx, eax ",xcode,2
"mov edx, [rbp+var_9C]  | * | jge loc_100001CBA ",xcode,1
"cmp edx, eax  | * | lea rax, _V ",xcode,1
"jge loc_100001CBA  | * | movsxd rcx, [rbp+var_88] ",xcode,1
"lea rax, _V  | * | movsxd rdx, [rbp+var_84] ",xcode,5
"movsxd rcx, [rbp+var_88]  | * | imul rdx, 61A80h ",xcode,5
"movsxd rdx, [rbp+var_84]  | * | add rax, rdx ",xcode,7
"imul rdx, 61A80h  | * | mov dword ptr [rax+rcx*4], 1 ",xcode,1
"add rax, rdx  | * | mov [rbp+var_80], 0 ",xcode,1
"mov dword ptr [rax+rcx*4], 1  | * | loc_100001A73:  ",xcode,1
"loc_100001A73:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_80]  | * | jge loc_100001B71 ",xcode,1
"cmp eax, cs:_n  | * | mov eax, 1 ",xcode,2
"jge loc_100001B71  | * | mov ecx, [rbp+var_88] ",xcode,1
"mov eax, 1  | * | mov edx, [rbp+var_80] ",xcode,2
"mov ecx, [rbp+var_88]  | * | mov [rbp+var_A0], ecx ",xcode,1
"mov edx, [rbp+var_80]  | * | mov ecx, edx ",xcode,4
"mov [rbp+var_A0], ecx  | * | shl eax, cl ",xcode,1
"mov ecx, edx  | * | mov edx, [rbp+var_A0] ",xcode,1
"shl eax, cl  | * | and edx, eax ",xcode,2
"mov edx, [rbp+var_A0]  | * | cmp edx, 0 ",xcode,1
"and edx, eax  | * | jz loc_100001B05 ",xcode,1
"cmp edx, 0  | * | lea rax, _C ",xcode,1
"jz loc_100001B05  | * | movsxd rcx, [rbp+var_80] ",xcode,1
"lea rax, _C  | * | movsxd rdx, [rbp+var_84] ",xcode,2
"movsxd rcx, [rbp+var_80]  | * | imul rdx, 14h ",xcode,2
"add rax, rdx  | * | cmp esi, 2Eh  ",xcode,1
"movsx esi, byte ptr [rax+rcx]  | * | jnz loc_100001B00 ",xcode,1
"cmp esi, 2Eh   | * | lea rax, _V ",xcode,1
"jnz loc_100001B00  | * | movsxd rcx, [rbp+var_88] ",xcode,1
"add rax, rdx  | * | loc_100001B00:  ",xcode,1
"mov dword ptr [rax+rcx*4], 0  | * | jmp loc_100001B5C ",xcode,1
loc_100001B00:   | * | loc_100001B05:  ,xcode,1
"jmp loc_100001B5C  | * | lea rax, _C ",xcode,1
"loc_100001B05:   | * | movsxd rcx, [rbp+var_80] ",xcode,1
"add rax, rdx  | * | cmp esi, 23h  ",xcode,1
