idiom,label,count
var_C = dword ptr -0Ch  | * | var_4 = dword ptr -4 ,data,1
"push offset ?__CxxUnhandledExceptionFilter@@YGJPAU_EXCEPTION_POINTERS@@@Z   | * | xor eax, eax ",msvc,1
call ds:SetUnhandledExceptionFilter  | * | retn ,msvc,1
"xor eax, eax  | * | sub_401517 endp ",msvc,1
retn  | * | align 2 ,msvc,1
sub_401517 endp  | * | sub_4015E4 proc near  ,msvc,1
"align 2  | * | mov edi, edi ",msvc,1
sub_4015E4 proc near   | * | push esi ,msvc,1
"mov edi, edi  | * | mov eax, offset unk_4021E8 ",msvc,1
"push esi  | * | mov esi, offset unk_4021E8 ",msvc,1
"mov eax, offset unk_4021E8  | * | push edi ",msvc,1
"mov esi, offset unk_4021E8  | * | mov edi, eax ",msvc,1
"push edi  | * | cmp eax, esi ",msvc,2
"mov edi, eax  | * | jnb short loc_401607 ",msvc,1
"cmp eax, esi  | * | loc_4015F8:  ",msvc,1
"jnb short loc_401607  | * | mov eax, [edi] ",msvc,1
"loc_4015F8:   | * | test eax, eax ",msvc,1
"mov eax, [edi]  | * | jz short loc_401600 ",msvc,1
"test eax, eax  | * | call eax ",msvc,2
jz short loc_401600  | * | loc_401600:  ,msvc,1
"call eax  | * | add edi, 4 ",msvc,2
"loc_401600:   | * | cmp edi, esi ",msvc,1
"add edi, 4  | * | jb short loc_4015F8 ",msvc,1
"cmp edi, esi  | * | loc_401607:  ",msvc,1
jb short loc_4015F8  | * | pop edi ,msvc,1
loc_401607:   | * | pop esi ,msvc,1
pop edi  | * | retn ,msvc,2
pop esi  | * | sub_4015E4 endp ,msvc,1
retn  | * | sub_40160A proc near  ,msvc,1
"sub_4015E4 endp  | * | mov edi, edi ",msvc,1
sub_40160A proc near   | * | push esi ,msvc,1
"mov edi, edi  | * | mov eax, offset unk_4021F0 ",msvc,1
"push esi  | * | mov esi, offset unk_4021F0 ",msvc,1
"mov eax, offset unk_4021F0  | * | push edi ",msvc,1
"mov esi, offset unk_4021F0  | * | mov edi, eax ",msvc,1
"mov edi, eax  | * | jnb short loc_40162D ",msvc,1
"cmp eax, esi  | * | loc_40161E:  ",msvc,1
"jnb short loc_40162D  | * | mov eax, [edi] ",msvc,1
"loc_40161E:   | * | test eax, eax ",msvc,1
"mov eax, [edi]  | * | jz short loc_401626 ",msvc,1
jz short loc_401626  | * | loc_401626:  ,msvc,1
"loc_401626:   | * | cmp edi, esi ",msvc,1
"add edi, 4  | * | jb short loc_40161E ",msvc,1
"cmp edi, esi  | * | loc_40162D:  ",msvc,1
jb short loc_40161E  | * | pop edi ,msvc,1
loc_40162D:   | * | pop esi ,msvc,1
pop esi  | * | sub_40160A endp ,msvc,1
retn  | * | align 10h ,msvc,1
sub_40160A endp  | * | align 10h ,msvc,1
align 10h  | * | align 10h ,msvc,2
align 10h  | * | sub_401846 proc near  ,msvc,1
"align 10h  | * | xor eax, eax ",msvc,1
sub_401846 proc near   | * | retn ,msvc,1
"xor eax, eax  | * | sub_401846 endp ",msvc,1
retn  | * | align 100h ,msvc,1
sub_401846 endp  | * | dd 180h dup(?) ,msvc,1
align 100h  | * | _text ends ,msvc,1
