idiom,label,count
var_2C = dword ptr -2Ch  | * | var_10 = dword ptr -10h ,data,4
"jmp loc_401156  | * | mov [esp+2Ch+var_28], 1  ",gcc,2
"loc_401207:   | * | mov [esp+2Ch+var_2C], 4  ",gcc,1
"mov [esp+2Ch+var_28], 1   | * | call _signal ",gcc,3
"mov [esp+2Ch+var_2C], 4   | * | or eax, 0FFFFFFFFh ",gcc,1
call _signal  | * | jmp loc_401156 ,gcc,2
"or eax, 0FFFFFFFFh  | * | loc_401223:  ",gcc,1
"loc_401223:   | * | mov [esp+2Ch+var_2C], 0Bh  ",gcc,1
"mov [esp+2Ch+var_2C], 0Bh   | * | or eax, 0FFFFFFFFh ",gcc,1
"or eax, 0FFFFFFFFh  | * | align 10h ",gcc,1
jmp loc_401156  | * | loc_401240:  ,gcc,1
"align 10h  | * | mov [esp+2Ch+var_28], 1  ",gcc,2
"loc_401240:   | * | mov [esp+2Ch+var_2C], 8  ",gcc,1
"mov [esp+2Ch+var_2C], 8   | * | test ebx, ebx ",gcc,1
"call _signal  | * | mov eax, 0FFFFFFFFh ",gcc,1
"test ebx, ebx  | * | jz loc_401156 ",gcc,1
"mov eax, 0FFFFFFFFh  | * | mov [esp+2Ch+var_10], eax ",gcc,1
jz loc_401156  | * | call _fpreset ,gcc,1
"mov [esp+2Ch+var_10], eax  | * | mov eax, [esp+2Ch+var_10] ",gcc,3
call _fpreset  | * | jmp loc_401156 ,gcc,1
"mov eax, [esp+2Ch+var_10]  | * | __gnu_exception_handler@4 endp ",gcc,1
jmp loc_401156  | * | align 10h ,gcc,1
__gnu_exception_handler@4 endp  | * | align 10h ,gcc,1
align 10h  | * | public _WinMainCRTStartup ,gcc,1
align 10h  | * | _WinMainCRTStartup proc near ,gcc,1
"_WinMainCRTStartup proc near  | * | sub esp, 1Ch ",gcc,1
"sub esp, 1Ch  | * | call ds:__imp____set_app_type ",gcc,1
"mov [esp+1Ch+var_1C], 2  | * | call ___mingw_CRTStartup ",gcc,1
call ds:__imp____set_app_type  | * | _WinMainCRTStartup endp ,gcc,1
call ___mingw_CRTStartup  | * | align 10h ,gcc,1
_WinMainCRTStartup endp  | * | public _atexit ,gcc,1
align 10h  | * | _atexit proc near  ,gcc,1
"public _atexit  | * | mov eax, ds:__imp__atexit ",gcc,1
_atexit proc near   | * | jmp eax ,gcc,1
"mov eax, ds:__imp__atexit  | * | _atexit endp ",gcc,1
jmp eax  | * | align 10h ,gcc,2
_atexit endp  | * | public __onexit ,gcc,1
align 10h  | * | __onexit proc near ,gcc,1
"public __onexit  | * | mov eax, ds:__imp___onexit ",gcc,1
__onexit proc near  | * | jmp eax ,gcc,1
"mov eax, ds:__imp___onexit  | * | __onexit endp ",gcc,1
__onexit endp  | * | public ___gcc_register_frame ,gcc,1
align 10h  | * | ___gcc_register_frame proc near  ,gcc,1
"mov ecx, ___JCR_END__  | * | jz short locret_401322 ",gcc,1
"test ecx, ecx  | * | push ebp ",gcc,1
"jz short locret_401322  | * | mov ebp, esp ",gcc,1
"push ebp  | * | sub esp, 18h ",gcc,12
"mov ebp, esp  | * | mov [esp+1Ch+lpModuleName], offset ModuleName  ",gcc,1
"sub esp, 18h  | * | call _GetModuleHandleA@4  ",gcc,1
"mov [esp+1Ch+lpModuleName], offset ModuleName   | * | push edx ",gcc,1
"call _GetModuleHandleA@4   | * | test eax, eax ",gcc,1
push edx  | * | jz short loc_401324 ,gcc,1
"test eax, eax  | * | mov [esp+1Ch+lpProcName], offset ProcName  ",gcc,1
"jz short loc_401324  | * | mov [esp+1Ch+lpModuleName], eax  ",gcc,1
"mov [esp+1Ch+lpProcName], offset ProcName   | * | call _GetProcAddress@8  ",gcc,1
"mov [esp+1Ch+lpModuleName], eax   | * | sub esp, 8 ",gcc,1
call _GetProcAddress@8   | * | loc_401314:  ,gcc,1
"sub esp, 8  | * | test eax, eax ",gcc,1
loc_401314:   | * | jz short locret_401321 ,gcc,1
"test eax, eax  | * | mov [esp+1Ch+lpModuleName], offset ___JCR_END__ ",gcc,1
jz short locret_401321  | * | call eax ,gcc,1
"mov [esp+1Ch+lpModuleName], offset ___JCR_END__  | * | locret_401321:  ",gcc,1
call eax  | * | leave ,gcc,1
locret_401321:   | * | locret_401322:  ,gcc,1
leave  | * | retn ,gcc,1
locret_401322:   | * | align 4 ,gcc,1
retn  | * | loc_401324:  ,gcc,1
"align 4  | * | mov eax, 0 ",gcc,1
loc_401324:   | * | jmp short loc_401314 ,gcc,1
"mov eax, 0  | * | ___gcc_register_frame endp ",gcc,1
jmp short loc_401314  | * | align 4 ,gcc,1
___gcc_register_frame endp  | * | public ___gcc_deregister_frame ,gcc,1
align 4  | * | ___gcc_deregister_frame proc near  ,gcc,1
public ___gcc_deregister_frame  | * | push ebp ,gcc,1
"___gcc_deregister_frame proc near   | * | mov ebp, esp ",gcc,1
push ebp  | * | pop ebp ,gcc,1
"mov ebp, esp  | * | retn ",gcc,1
pop ebp  | * | ___gcc_deregister_frame endp ,gcc,1
retn  | * | align 4 ,gcc,125
___gcc_deregister_frame endp  | * | public _main ,gcc,1
align 4  | * | _main proc near  ,gcc,1
lpuexcpt = dword ptr -98h  | * | var_8E = byte ptr -8Eh ,data,1
var_94 = dword ptr -94h  | * | var_8D = byte ptr -8Dh ,data,1
var_8E = byte ptr -8Eh  | * | fctx = SjLj_Function_Context ptr -8Ch ,data,1
var_8D = byte ptr -8Dh  | * | var_58 = byte ptr -58h ,data,1
fctx = SjLj_Function_Context ptr -8Ch  | * | var_40 = dword ptr -40h ,data,1
var_58 = byte ptr -58h  | * | var_3C = dword ptr -3Ch ,data,1
var_40 = dword ptr -40h  | * | var_38 = dword ptr -38h ,data,3
var_3C = dword ptr -3Ch  | * | var_34 = dword ptr -34h ,data,12
var_38 = dword ptr -38h  | * | var_30 = dword ptr -30h ,data,3
var_34 = dword ptr -34h  | * | var_2C = dword ptr -2Ch ,data,3
var_30 = dword ptr -30h  | * | var_28 = dword ptr -28h ,data,4
var_2C = dword ptr -2Ch  | * | var_24 = dword ptr -24h ,data,27
var_28 = dword ptr -28h  | * | var_20 = dword ptr -20h ,data,9
var_24 = dword ptr -24h  | * | var_1C = dword ptr -1Ch ,data,3
var_20 = dword ptr -20h  | * | var_18 = byte ptr -18h ,data,4
var_1C = dword ptr -1Ch  | * | argc = dword ptr 8 ,data,1
var_18 = byte ptr -18h  | * | argv = dword ptr 0Ch ,data,1
argc = dword ptr 8  | * | envp = dword ptr 10h ,data,1
"lea ecx, [esp+4]  | * | push dword ptr [ecx-4] ",gcc,1
"and esp, 0FFFFFFF0h  | * | push ebp ",gcc,1
"push dword ptr [ecx-4]  | * | mov ebp, esp ",gcc,1
push ebp  | * | push edi ,gcc,8
"mov ebp, esp  | * | push esi ",gcc,7
push edi  | * | push ebx ,gcc,89
push esi  | * | push ecx ,gcc,2
"push ebx  | * | sub esp, 98h ",gcc,1
"push ecx  | * | mov [ebp+fctx.personality], offset ___gxx_personality_sj0 ",gcc,1
"sub esp, 98h  | * | mov [ebp+fctx.lsda], offset dword_412224 ",gcc,1
"mov [ebp+fctx.personality], offset ___gxx_personality_sj0  | * | lea eax, [ebp+fctx.jbuf] ",gcc,5
"mov [ebp+fctx.lsda], offset dword_412224  | * | lea edx, [ebp+var_18] ",gcc,1
"lea eax, [ebp+fctx.jbuf]  | * | mov [eax], edx ",gcc,5
"lea edx, [ebp+var_18]  | * | mov edx, offset loc_401605 ",gcc,1
"mov [eax], edx  | * | mov [eax+4], edx ",gcc,5
"mov edx, offset loc_401605  | * | mov [eax+8], esp ",gcc,1
"mov [eax+4], edx  | * | lea eax, [ebp+fctx] ",gcc,5
"mov [eax+8], esp  | * | mov [esp], eax  ",gcc,5
"lea eax, [ebp+fctx]  | * | call __Unwind_SjLj_Register ",gcc,5
"mov [esp], eax   | * | call ___main ",gcc,1
"call __Unwind_SjLj_Register  | * | lea eax, [ebp+var_3C] ",gcc,1
"call ___main  | * | mov [esp+4], eax ",gcc,1
"lea eax, [ebp+var_3C]  | * | mov dword ptr [esp], offset aD  ",gcc,1
"mov [esp+4], eax  | * | call _scanf ",gcc,1
"mov dword ptr [esp], offset aD   | * | mov [ebp+var_1C], 1 ",gcc,1
call _scanf  | * | jmp loc_4015AD ,gcc,1
"mov [ebp+var_1C], 1  | * | loc_40139E:  ",gcc,1
"jmp loc_4015AD  | * | mov dword ptr [esp+8], offset _b ",gcc,1
"loc_40139E:   | * | mov dword ptr [esp+4], offset _a ",gcc,1
"mov dword ptr [esp+8], offset _b  | * | mov dword ptr [esp], offset aDD  ",gcc,1
"mov dword ptr [esp+4], offset _a  | * | call _scanf ",gcc,1
"mov dword ptr [esp], offset aDD   | * | mov [ebp+var_28], 0 ",gcc,1
"call _scanf  | * | mov eax, ds:_a ",gcc,1
"mov [ebp+var_28], 0  | * | mov [ebp+var_40], eax ",gcc,1
"mov eax, ds:_a  | * | jmp short loc_4013EB ",gcc,1
"mov [ebp+var_40], eax  | * | loc_4013CB:  ",gcc,1
jmp short loc_4013EB  | * | inc [ebp+var_28] ,gcc,1
"loc_4013CB:   | * | mov ecx, [ebp+var_40] ",gcc,1
"inc [ebp+var_28]  | * | mov edx, 66666667h ",gcc,1
"mov ecx, [ebp+var_40]  | * | mov eax, ecx ",gcc,3
"mov edx, 66666667h  | * | imul edx ",gcc,3
"mov eax, ecx  | * | sar edx, 2 ",gcc,3
"imul edx  | * | mov eax, ecx ",gcc,3
"sar edx, 2  | * | sar eax, 1Fh ",gcc,3
"mov eax, ecx  | * | mov ecx, edx ",gcc,1
"sar eax, 1Fh  | * | sub ecx, eax ",gcc,1
"mov ecx, edx  | * | mov eax, ecx ",gcc,1
"sub ecx, eax  | * | mov [ebp+var_40], eax ",gcc,1
"mov eax, ecx  | * | loc_4013EB:  ",gcc,1
"mov [ebp+var_40], eax  | * | mov eax, [ebp+var_40] ",gcc,1
"loc_4013EB:   | * | test eax, eax ",gcc,1
"mov eax, [ebp+var_40]  | * | setnle al ",gcc,1
"test eax, eax  | * | test al, al ",gcc,1
setnle al  | * | jnz short loc_4013CB ,gcc,1
"test al, al  | * | mov [ebp+var_2C], 1 ",gcc,1
"jnz short loc_4013CB  | * | mov [ebp+var_24], 1 ",gcc,1
"mov [ebp+var_2C], 1  | * | jmp short loc_401419 ",gcc,1
"mov [ebp+var_24], 1  | * | loc_401407:  ",gcc,1
"jmp short loc_401419  | * | mov edx, [ebp+var_2C] ",gcc,1
"loc_401407:   | * | mov eax, edx ",gcc,1
"mov edx, [ebp+var_2C]  | * | shl eax, 2 ",gcc,1
"mov eax, edx  | * | add eax, edx ",gcc,3
"shl eax, 2  | * | shl eax, 1 ",gcc,2
"add eax, edx  | * | mov [ebp+var_2C], eax ",gcc,1
"shl eax, 1  | * | inc [ebp+var_24] ",gcc,1
"mov [ebp+var_2C], eax  | * | loc_401419:  ",gcc,1
"inc [ebp+var_24]  | * | mov eax, [ebp+var_24] ",gcc,2
"loc_401419:   | * | cmp eax, [ebp+var_28] ",gcc,1
"mov eax, [ebp+var_24]  | * | setl al ",gcc,2
"cmp eax, [ebp+var_28]  | * | test al, al ",gcc,2
setl al  | * | jnz short loc_401407 ,gcc,1
"test al, al  | * | mov [ebp+var_30], 0 ",gcc,1
"jnz short loc_401407  | * | mov eax, ds:_a ",gcc,1
"mov [ebp+var_30], 0  | * | mov [ebp+var_20], eax ",gcc,1
"mov eax, ds:_a  | * | jmp loc_40157D ",gcc,1
"mov [ebp+var_20], eax  | * | loc_40143A:  ",gcc,1
"jmp loc_40157D  | * | mov eax, [ebp+var_20] ",gcc,1
"loc_40143A:   | * | mov [ebp+var_40], eax ",gcc,1
"mov eax, [ebp+var_20]  | * | lea eax, [ebp+var_58] ",gcc,1
"mov [ebp+var_40], eax  | * | mov [ebp+fctx.call_site], 1 ",gcc,1
"lea eax, [ebp+var_58]  | * | mov ecx, eax ",gcc,4
"mov [ebp+fctx.call_site], 1  | * | call __ZNSt3setIiSt4lessIiESaIiEEC1Ev  ",gcc,1
"mov ecx, eax  | * | mov [ebp+var_24], 0 ",gcc,1
call __ZNSt3setIiSt4lessIiESaIiEEC1Ev   | * | jmp loc_401555 ,gcc,1
"mov [ebp+var_24], 0  | * | loc_401460:  ",gcc,1
"jmp loc_401555  | * | mov ecx, [ebp+var_40] ",gcc,1
"loc_401460:   | * | mov edx, 66666667h ",gcc,1
"mov eax, ecx  | * | mov ebx, edx ",gcc,1
"sar eax, 1Fh  | * | sub ebx, eax ",gcc,1
"mov ebx, edx  | * | mov ecx, [ebp+var_40] ",gcc,1
"sub ebx, eax  | * | mov edx, 66666667h ",gcc,1
"mov eax, ecx  | * | sub edx, eax ",gcc,1
"sar eax, 1Fh  | * | mov eax, edx ",gcc,1
"sub edx, eax  | * | shl eax, 2 ",gcc,1
"add eax, edx  | * | mov edx, ecx ",gcc,1
"shl eax, 1  | * | sub edx, eax ",gcc,1
"mov edx, ecx  | * | mov eax, edx ",gcc,1
"sub edx, eax  | * | imul eax, [ebp+var_2C] ",gcc,1
"mov eax, edx  | * | add eax, ebx ",gcc,1
"imul eax, [ebp+var_2C]  | * | mov [ebp+var_40], eax ",gcc,1
"add eax, ebx  | * | mov [ebp+var_8D], 0 ",gcc,1
"mov [ebp+var_40], eax  | * | mov [ebp+var_8E], 0 ",gcc,1
"mov [ebp+var_8D], 0  | * | mov eax, [ebp+var_40] ",gcc,1
"mov [ebp+var_8E], 0  | * | cmp [ebp+var_20], eax ",gcc,1
"mov eax, [ebp+var_40]  | * | jge short loc_40151E ",gcc,1
"cmp [ebp+var_20], eax  | * | mov edx, [ebp+var_40] ",gcc,1
"jge short loc_40151E  | * | mov eax, ds:_b ",gcc,1
"mov edx, [ebp+var_40]  | * | cmp edx, eax ",gcc,1
"mov eax, ds:_b  | * | jg short loc_40151E ",gcc,1
"cmp edx, eax  | * | lea eax, [ebp+var_58] ",gcc,1
"jg short loc_40151E  | * | mov [ebp+fctx.call_site], 2 ",gcc,1
"mov [ebp+fctx.call_site], 2  | * | call __ZNKSt3setIiSt4lessIiESaIiEE3endEv  ",gcc,1
"mov ecx, eax  | * | mov [ebp+var_38], eax ",gcc,1
"call __ZNKSt3setIiSt4lessIiESaIiEE3endEv   | * | mov [ebp+var_8D], 1 ",gcc,1
"mov [ebp+var_38], eax  | * | lea eax, [ebp+var_58] ",gcc,1
"mov [ebp+var_8D], 1  | * | lea edx, [ebp+var_40] ",gcc,1
"lea eax, [ebp+var_58]  | * | mov [esp], edx ",gcc,2
"lea edx, [ebp+var_40]  | * | mov ecx, eax ",gcc,1
"mov [esp], edx  | * | call __ZNSt3setIiSt4lessIiESaIiEE4findERKi  ",gcc,1
"mov ecx, eax  | * | sub esp, 4 ",gcc,24
"call __ZNSt3setIiSt4lessIiESaIiEE4findERKi   | * | mov [ebp+var_34], eax ",gcc,1
"sub esp, 4  | * | mov [ebp+var_8E], 1 ",gcc,1
"mov [ebp+var_34], eax  | * | lea eax, [ebp+var_34] ",gcc,1
"mov [ebp+var_8E], 1  | * | lea edx, [ebp+var_38] ",gcc,1
"lea eax, [ebp+var_34]  | * | mov [esp], edx ",gcc,1
"lea edx, [ebp+var_38]  | * | mov ecx, eax ",gcc,1
"mov [esp], edx  | * | call __ZNKSt23_Rb_tree_const_iteratorIiEeqERKS0_  ",gcc,1
"call __ZNKSt23_Rb_tree_const_iteratorIiEeqERKS0_   | * | test al, al ",gcc,1
"sub esp, 4  | * | jz short loc_40151E ",gcc,1
"test al, al  | * | mov al, 1 ",gcc,3
jz short loc_40151E  | * | jmp short loc_401520 ,gcc,1
"mov al, 1  | * | loc_40151E:  ",gcc,1
"jmp short loc_401520  | * | mov al, 0 ",gcc,1
loc_40151E:   | * | loc_401520:  ,gcc,1
"mov al, 0  | * | cmp [ebp+var_8E], 0 ",gcc,1
"loc_401520:   | * | cmp [ebp+var_8D], 0 ",gcc,1
"cmp [ebp+var_8E], 0  | * | test al, al ",gcc,1
"cmp [ebp+var_8D], 0  | * | jz short loc_401552 ",gcc,1
"test al, al  | * | lea eax, [ebp+var_58] ",gcc,2
"jz short loc_401552  | * | lea edx, [ebp+var_40] ",gcc,1
"lea edx, [ebp+var_40]  | * | mov [ebp+fctx.call_site], 3 ",gcc,1
"mov [esp], edx  | * | mov ecx, eax ",gcc,4
"mov [ebp+fctx.call_site], 3  | * | call __ZNSt3setIiSt4lessIiESaIiEE6insertERKi  ",gcc,1
call __ZNSt3setIiSt4lessIiESaIiEE6insertERKi   | * | inc [ebp+var_30] ,gcc,1
"sub esp, 4  | * | loc_401552:  ",gcc,1
inc [ebp+var_30]  | * | inc [ebp+var_24] ,gcc,1
loc_401552:   | * | loc_401555:  ,gcc,1
"loc_401555:   | * | cmp eax, [ebp+var_28] ",gcc,1
setl al  | * | jnz loc_401460 ,gcc,1
"jnz loc_401460  | * | mov [ebp+fctx.call_site], 1 ",gcc,1
"mov [ebp+fctx.call_site], 1  | * | call __ZNSt3setIiSt4lessIiESaIiEED1Ev  ",gcc,1
"mov ecx, eax  | * | inc [ebp+var_20] ",gcc,1
call __ZNSt3setIiSt4lessIiESaIiEED1Ev   | * | loc_40157D:  ,gcc,1
"inc [ebp+var_20]  | * | mov eax, ds:_b ",gcc,1
"loc_40157D:   | * | cmp [ebp+var_20], eax ",gcc,1
"mov eax, ds:_b  | * | setle al ",gcc,1
"cmp [ebp+var_20], eax  | * | test al, al ",gcc,1
setle al  | * | jnz loc_40143A ,gcc,1
"test al, al  | * | mov eax, [ebp+var_30] ",gcc,1
"jnz loc_40143A  | * | mov [esp+8], eax ",gcc,1
"mov eax, [ebp+var_30]  | * | mov eax, [ebp+var_1C] ",gcc,1
"mov [esp+8], eax  | * | mov [esp+4], eax ",gcc,1
"mov eax, [ebp+var_1C]  | * | mov dword ptr [esp], offset aCaseDD  ",gcc,1
"mov [esp+4], eax  | * | call _printf ",gcc,1
"mov dword ptr [esp], offset aCaseDD   | * | inc [ebp+var_1C] ",gcc,1
call _printf  | * | loc_4015AD:  ,gcc,1
"inc [ebp+var_1C]  | * | mov eax, [ebp+var_3C] ",gcc,1
"loc_4015AD:   | * | cmp [ebp+var_1C], eax ",gcc,1
"mov eax, [ebp+var_3C]  | * | setle al ",gcc,1
"cmp [ebp+var_1C], eax  | * | test al, al ",gcc,1
setle al  | * | jnz loc_40139E ,gcc,1
"test al, al  | * | mov eax, 0 ",gcc,1
"jnz loc_40139E  | * | mov [ebp+var_94], eax ",gcc,1
"mov eax, 0  | * | jmp short loc_401638 ",gcc,1
"mov [ebp+var_94], eax  | * | loc_4015CB:  ",gcc,1
"jmp short loc_401638  | * | mov eax, edx ",gcc,1
"loc_4015CB:   | * | cmp [ebp+var_8E], 0 ",gcc,1
"mov eax, edx  | * | cmp [ebp+var_8D], 0 ",gcc,1
"cmp [ebp+var_8E], 0  | * | mov [ebp+lpuexcpt], eax ",gcc,1
"cmp [ebp+var_8D], 0  | * | jmp short loc_4015E9 ",gcc,1
"mov [ebp+lpuexcpt], eax  | * | loc_4015E3:  ",gcc,1
"jmp short loc_4015E9  | * | mov [ebp+lpuexcpt], edx ",gcc,1
loc_4015E3:   | * | loc_4015E9:  ,gcc,1
"mov [ebp+lpuexcpt], edx  | * | lea eax, [ebp+var_58] ",gcc,1
"loc_4015E9:   | * | mov [ebp+fctx.call_site], 0 ",gcc,1
"mov [ebp+fctx.call_site], 0  | * | call __ZNSt3setIiSt4lessIiESaIiEED1Ev  ",gcc,1
"mov ecx, eax  | * | mov eax, [ebp+lpuexcpt] ",gcc,2
call __ZNSt3setIiSt4lessIiESaIiEED1Ev   | * | jmp short loc_401626 ,gcc,1
"mov eax, [ebp+lpuexcpt]  | * | loc_401605:  ",gcc,1
"jmp short loc_401626  | * | lea ebp, [ebp+18h] ",gcc,1
"loc_401605:   | * | mov edx, [ebp+fctx.data] ",gcc,1
"lea ebp, [ebp+18h]  | * | mov eax, [ebp+fctx.call_site] ",gcc,3
"mov edx, [ebp+fctx.data]  | * | cmp eax, 1 ",gcc,2
"mov eax, [ebp+fctx.call_site]  | * | jz short loc_4015CB ",gcc,1
"cmp eax, 1  | * | cmp eax, 2 ",gcc,1
jz short loc_4015CB  | * | jz short loc_4015E3 ,gcc,1
"cmp eax, 2  | * | test eax, eax ",gcc,1
jz short loc_4015E3  | * | jz short loc_401624 ,gcc,1
"test eax, eax  | * | ud2 ",gcc,1
jz short loc_401624  | * | loc_401624:  ,gcc,1
"ud2  | * | mov eax, edx ",gcc,3
loc_401624:   | * | loc_401626:  ,gcc,1
"mov eax, edx  | * | mov [esp], eax  ",gcc,3
"loc_401626:   | * | mov [ebp+fctx.call_site], 0FFFFFFFFh ",gcc,1
"mov [esp], eax   | * | call __Unwind_SjLj_Resume ",gcc,5
"mov [ebp+fctx.call_site], 0FFFFFFFFh  | * | loc_401638:  ",gcc,1
"call __Unwind_SjLj_Resume  | * | lea eax, [ebp+fctx] ",gcc,5
"loc_401638:   | * | mov [esp], eax  ",gcc,1
"lea eax, [ebp+fctx]  | * | call __Unwind_SjLj_Unregister ",gcc,5
"mov [esp], eax   | * | mov eax, [ebp+var_94] ",gcc,1
"call __Unwind_SjLj_Unregister  | * | lea esp, [ebp-10h] ",gcc,1
"mov eax, [ebp+var_94]  | * | pop ecx ",gcc,1
"lea esp, [ebp-10h]  | * | pop ebx ",gcc,1
pop ecx  | * | pop esi ,gcc,3
pop ebx  | * | pop edi ,gcc,133
pop esi  | * | pop ebp ,gcc,99
"pop edi  | * | lea esp, [ecx-4] ",gcc,1
pop ebp  | * | retn ,gcc,1
"lea esp, [ecx-4]  | * | _main endp ",gcc,1
retn  | * | __ZL12read_sleb128PKhPl proc near  ,gcc,1
_main endp  | * | push edi ,gcc,1
__ZL12read_sleb128PKhPl proc near   | * | push esi ,gcc,1
"push esi  | * | mov edi, edx ",gcc,1
"push ebx  | * | xor esi, esi ",gcc,1
"mov edi, edx  | * | xor ecx, ecx ",gcc,1
"xor esi, esi  | * | lea esi, [esi+0] ",gcc,1
"xor ecx, ecx  | * | loc_401664:  ",gcc,1
"lea esi, [esi+0]  | * | mov dl, [eax] ",gcc,1
loc_401664:   | * | inc eax ,gcc,1
"mov dl, [eax]  | * | mov ebx, edx ",gcc,1
"inc eax  | * | and ebx, 7Fh ",gcc,1
"mov ebx, edx  | * | shl ebx, cl ",gcc,1
"and ebx, 7Fh  | * | or esi, ebx ",gcc,1
"shl ebx, cl  | * | add ecx, 7 ",gcc,2
"or esi, ebx  | * | test dl, dl ",gcc,1
"add ecx, 7  | * | js short loc_401664 ",gcc,1
"test dl, dl  | * | cmp ecx, 1Fh ",gcc,1
js short loc_401664  | * | ja short loc_40168A ,gcc,1
"cmp ecx, 1Fh  | * | and edx, 40h ",gcc,1
ja short loc_40168A  | * | jz short loc_40168A ,gcc,1
"and edx, 40h  | * | mov edx, 0FFFFFFFFh ",gcc,1
"jz short loc_40168A  | * | shl edx, cl ",gcc,1
"mov edx, 0FFFFFFFFh  | * | or esi, edx ",gcc,1
"shl edx, cl  | * | loc_40168A:  ",gcc,1
"or esi, edx  | * | mov [edi], esi ",gcc,1
loc_40168A:   | * | pop ebx ,gcc,1
"mov [edi], esi  | * | pop esi ",gcc,1
pop esi  | * | retn ,gcc,29
