idiom,label,count
var_1C = dword ptr -1Ch  | * | var_14 = dword ptr -14h ,data,1
"lea rax, _p  | * | mov edi, [rax+rcx*4]  ",xcode,1
"movsxd rcx, [rbp+var_4]  | * | call __Z2gpi  ",xcode,1
"mov edi, [rax+rcx*4]   | * | lea rcx, _p ",xcode,1
"call __Z2gpi   | * | movsxd rdx, [rbp+var_4] ",xcode,1
"lea rcx, _p  | * | mov [rcx+rdx*4], eax ",xcode,1
"movsxd rdx, [rbp+var_4]  | * | loc_100000E33:  ",xcode,1
"mov [rcx+rdx*4], eax  | * | lea rax, _p ",xcode,1
"loc_100000E33:   | * | movsxd rcx, [rbp+var_4] ",xcode,1
"lea rax, _p  | * | mov eax, [rax+rcx*4] ",xcode,1
"movsxd rcx, [rbp+var_4]  | * | add rsp, 10h ",xcode,1
"mov eax, [rax+rcx*4]  | * | pop rbp ",xcode,1
"add rsp, 10h  | * | retn ",xcode,4
pop rbp  | * | __Z2gpi endp ,xcode,1
__Z2gpi endp  | * | public __Z4goodii ,xcode,1
align 10h  | * | __Z4goodii proc near  ,xcode,1
"push rbp  | * | mov [rbp+var_8], edi ",xcode,1
"mov rbp, rsp  | * | mov [rbp+var_C], esi ",xcode,1
"mov [rbp+var_8], edi  | * | cmp [rbp+var_8], 1 ",xcode,1
"mov [rbp+var_C], esi  | * | jl loc_100000E9C ",xcode,1
"cmp [rbp+var_8], 1  | * | cmp [rbp+var_C], 1 ",xcode,1
jl loc_100000E9C  | * | jl loc_100000E9C ,xcode,1
"cmp [rbp+var_C], 1  | * | mov eax, [rbp+var_8] ",xcode,1
"jl loc_100000E9C  | * | mov ecx, cs:_n ",xcode,1
"mov eax, [rbp+var_8]  | * | shl ecx, 1 ",xcode,1
"shl ecx, 1  | * | jge loc_100000E9C ",xcode,1
"cmp eax, ecx  | * | mov eax, [rbp+var_C] ",xcode,1
"jge loc_100000E9C  | * | mov ecx, cs:_n ",xcode,1
"mov eax, [rbp+var_C]  | * | shl ecx, 1 ",xcode,1
"shl ecx, 1  | * | jl loc_100000EA8 ",xcode,1
"cmp eax, ecx  | * | loc_100000E9C:  ",xcode,1
"jl loc_100000EA8  | * | mov [rbp+var_4], 0 ",xcode,1
loc_100000E9C:   | * | jmp loc_100000F43 ,xcode,1
"mov [rbp+var_4], 0  | * | loc_100000EA8:  ",xcode,1
"jmp loc_100000F43  | * | lea rax, _f ",xcode,1
"loc_100000EA8:   | * | mov ecx, [rbp+var_8] ",xcode,1
"lea rax, _f  | * | movsxd rdx, [rbp+var_C] ",xcode,1
"mov ecx, [rbp+var_8]  | * | cmp ecx, [rax+rdx*4] ",xcode,1
"movsxd rdx, [rbp+var_C]  | * | jl loc_100000F3C ",xcode,1
"cmp ecx, [rax+rdx*4]  | * | lea rax, _w ",xcode,2
"jl loc_100000F3C  | * | lea rcx, _f ",xcode,2
"lea rax, _w  | * | mov edx, [rbp+var_8] ",xcode,1
"lea rcx, _f  | * | movsxd rsi, [rbp+var_C] ",xcode,1
"mov edx, [rbp+var_8]  | * | mov edi, [rcx+rsi*4] ",xcode,1
"movsxd rsi, [rbp+var_C]  | * | movsxd rcx, [rbp+var_C] ",xcode,1
"mov edi, [rcx+rsi*4]  | * | add edi, [rax+rcx*4] ",xcode,3
"movsxd rcx, [rbp+var_C]  | * | sub edi, 1 ",xcode,1
"add edi, [rax+rcx*4]  | * | cmp edx, edi ",xcode,2
"sub edi, 1  | * | jg loc_100000F3C ",xcode,2
"cmp edx, edi  | * | lea rax, _f ",xcode,1
"jg loc_100000F3C  | * | mov ecx, [rbp+var_C] ",xcode,1
"lea rax, _f  | * | movsxd rdx, [rbp+var_8] ",xcode,1
"mov ecx, [rbp+var_C]  | * | cmp ecx, [rax+rdx*4] ",xcode,1
"movsxd rdx, [rbp+var_8]  | * | jl loc_100000F3C ",xcode,1
"lea rax, _w  | * | mov edx, [rbp+var_C] ",xcode,1
"lea rcx, _f  | * | movsxd rsi, [rbp+var_8] ",xcode,1
"mov edx, [rbp+var_C]  | * | mov edi, [rcx+rsi*4] ",xcode,1
"movsxd rsi, [rbp+var_8]  | * | movsxd rcx, [rbp+var_8] ",xcode,1
"movsxd rcx, [rbp+var_8]  | * | sub edi, 1 ",xcode,1
"cmp edx, edi  | * | mov [rbp+var_4], 1 ",xcode,1
jg loc_100000F3C  | * | jmp loc_100000F43 ,xcode,1
"mov [rbp+var_4], 1  | * | loc_100000F3C:  ",xcode,1
"jmp loc_100000F43  | * | mov [rbp+var_4], 0 ",xcode,1
loc_100000F3C:   | * | loc_100000F43:  ,xcode,1
"mov [rbp+var_4], 0  | * | mov eax, [rbp+var_4] ",xcode,1
loc_100000F43:   | * | pop rbp ,xcode,1
"mov eax, [rbp+var_4]  | * | retn ",xcode,1
pop rbp  | * | __Z4goodii endp ,xcode,1
__Z4goodii endp  | * | public _main ,xcode,1
align 10h  | * | _main proc near ,xcode,1
var_978 = qword ptr -978h  | * | var_96C = dword ptr -96Ch ,data,1
var_970 = dword ptr -970h  | * | var_968 = qword ptr -968h ,data,1
var_96C = dword ptr -96Ch  | * | var_960 = qword ptr -960h ,data,1
var_968 = qword ptr -968h  | * | var_954 = dword ptr -954h ,data,1
var_960 = qword ptr -960h  | * | var_950 = dword ptr -950h ,data,1
var_954 = dword ptr -954h  | * | var_94C = dword ptr -94Ch ,data,1
var_950 = dword ptr -950h  | * | var_948 = dword ptr -948h ,data,1
var_94C = dword ptr -94Ch  | * | var_944 = dword ptr -944h ,data,1
var_948 = dword ptr -948h  | * | var_940 = dword ptr -940h ,data,1
var_944 = dword ptr -944h  | * | var_93C = dword ptr -93Ch ,data,1
var_940 = dword ptr -940h  | * | var_938 = dword ptr -938h ,data,1
var_93C = dword ptr -93Ch  | * | var_934 = dword ptr -934h ,data,1
var_938 = dword ptr -938h  | * | var_930 = dword ptr -930h ,data,1
var_934 = dword ptr -934h  | * | var_92C = dword ptr -92Ch ,data,1
var_930 = dword ptr -930h  | * | var_928 = dword ptr -928h ,data,1
var_92C = dword ptr -92Ch  | * | var_922 = byte ptr -922h ,data,1
var_928 = dword ptr -928h  | * | var_921 = byte ptr -921h ,data,1
var_922 = byte ptr -922h  | * | var_920 = qword ptr -920h ,data,1
var_921 = byte ptr -921h  | * | var_918 = qword ptr -918h ,data,1
var_920 = qword ptr -920h  | * | var_90C = dword ptr -90Ch ,data,1
var_918 = qword ptr -918h  | * | var_908 = qword ptr -908h ,data,1
var_90C = dword ptr -90Ch  | * | var_900 = qword ptr -900h ,data,1
var_908 = qword ptr -908h  | * | var_8F8 = qword ptr -8F8h ,data,1
var_900 = qword ptr -900h  | * | var_8F0 = qword ptr -8F0h ,data,1
var_8F8 = qword ptr -8F8h  | * | var_8E4 = dword ptr -8E4h ,data,1
var_8F0 = qword ptr -8F0h  | * | var_8E0 = qword ptr -8E0h ,data,1
var_8E4 = dword ptr -8E4h  | * | var_8D8 = qword ptr -8D8h ,data,1
var_8E0 = qword ptr -8E0h  | * | var_8D0 = qword ptr -8D0h ,data,1
var_8D8 = qword ptr -8D8h  | * | var_8C8 = qword ptr -8C8h ,data,1
var_8D0 = qword ptr -8D0h  | * | var_8C0 = qword ptr -8C0h ,data,1
var_8C8 = qword ptr -8C8h  | * | var_8B8 = dword ptr -8B8h ,data,1
var_8C0 = qword ptr -8C0h  | * | var_8B4 = dword ptr -8B4h ,data,1
var_8B8 = dword ptr -8B8h  | * | var_8B0 = qword ptr -8B0h ,data,1
var_8B4 = dword ptr -8B4h  | * | var_8A8 = dword ptr -8A8h ,data,1
var_8B0 = qword ptr -8B0h  | * | var_8A4 = dword ptr -8A4h ,data,1
var_8A8 = dword ptr -8A8h  | * | var_8A0 = dword ptr -8A0h ,data,1
var_8A4 = dword ptr -8A4h  | * | var_89C = dword ptr -89Ch ,data,1
var_8A0 = dword ptr -8A0h  | * | var_898 = dword ptr -898h ,data,1
var_89C = dword ptr -89Ch  | * | var_894 = dword ptr -894h ,data,1
var_898 = dword ptr -898h  | * | var_890 = dword ptr -890h ,data,1
var_894 = dword ptr -894h  | * | var_88C = dword ptr -88Ch ,data,1
var_890 = dword ptr -890h  | * | var_888 = dword ptr -888h ,data,1
var_88C = dword ptr -88Ch  | * | var_884 = dword ptr -884h ,data,1
var_888 = dword ptr -888h  | * | var_880 = dword ptr -880h ,data,1
var_884 = dword ptr -884h  | * | var_87C = dword ptr -87Ch ,data,1
var_880 = dword ptr -880h  | * | var_878 = dword ptr -878h ,data,1
var_87C = dword ptr -87Ch  | * | var_874 = dword ptr -874h ,data,1
var_878 = dword ptr -878h  | * | var_870 = dword ptr -870h ,data,1
var_874 = dword ptr -874h  | * | var_86C = dword ptr -86Ch ,data,1
var_870 = dword ptr -870h  | * | var_868 = dword ptr -868h ,data,1
var_86C = dword ptr -86Ch  | * | var_864 = dword ptr -864h ,data,1
var_868 = dword ptr -868h  | * | var_860 = dword ptr -860h ,data,1
var_864 = dword ptr -864h  | * | var_85C = dword ptr -85Ch ,data,1
var_860 = dword ptr -860h  | * | var_858 = dword ptr -858h ,data,1
var_85C = dword ptr -85Ch  | * | var_854 = dword ptr -854h ,data,1
var_858 = dword ptr -858h  | * | var_850 = dword ptr -850h ,data,1
var_854 = dword ptr -854h  | * | var_84C = dword ptr -84Ch ,data,1
var_850 = dword ptr -850h  | * | var_848 = dword ptr -848h ,data,1
var_84C = dword ptr -84Ch  | * | var_844 = dword ptr -844h ,data,1
var_848 = dword ptr -848h  | * | var_840 = dword ptr -840h ,data,1
var_844 = dword ptr -844h  | * | var_83C = dword ptr -83Ch ,data,1
var_840 = dword ptr -840h  | * | var_838 = dword ptr -838h ,data,1
var_83C = dword ptr -83Ch  | * | var_834 = dword ptr -834h ,data,1
var_838 = dword ptr -838h  | * | var_830 = dword ptr -830h ,data,1
var_834 = dword ptr -834h  | * | var_82C = dword ptr -82Ch ,data,1
var_830 = dword ptr -830h  | * | var_828 = dword ptr -828h ,data,1
var_82C = dword ptr -82Ch  | * | var_824 = dword ptr -824h ,data,1
var_828 = dword ptr -828h  | * | var_820 = byte ptr -820h ,data,1
var_824 = dword ptr -824h  | * | var_818 = byte ptr -818h ,data,1
var_820 = byte ptr -820h  | * | var_810 = byte ptr -810h ,data,1
var_818 = byte ptr -818h  | * | var_800 = byte ptr -800h ,data,1
var_810 = byte ptr -810h  | * | var_7E8 = byte ptr -7E8h ,data,1
var_800 = byte ptr -800h  | * | var_7E0 = byte ptr -7E0h ,data,1
var_7E8 = byte ptr -7E8h  | * | var_7D8 = byte ptr -7D8h ,data,1
var_7E0 = byte ptr -7E0h  | * | var_7C8 = byte ptr -7C8h ,data,1
var_7D8 = byte ptr -7D8h  | * | var_7B0 = dword ptr -7B0h ,data,1
var_7C8 = byte ptr -7C8h  | * | var_7AC = dword ptr -7ACh ,data,1
var_7B0 = dword ptr -7B0h  | * | var_7A8 = dword ptr -7A8h ,data,1
var_7AC = dword ptr -7ACh  | * | var_7A4 = dword ptr -7A4h ,data,1
var_7A8 = dword ptr -7A8h  | * | var_7A0 = dword ptr -7A0h ,data,1
var_7A4 = dword ptr -7A4h  | * | var_79C = dword ptr -79Ch ,data,1
var_7A0 = dword ptr -7A0h  | * | var_798 = dword ptr -798h ,data,1
var_79C = dword ptr -79Ch  | * | var_794 = dword ptr -794h ,data,1
var_798 = dword ptr -798h  | * | var_790 = dword ptr -790h ,data,1
var_794 = dword ptr -794h  | * | var_78C = dword ptr -78Ch ,data,1
var_790 = dword ptr -790h  | * | var_788 = dword ptr -788h ,data,1
var_78C = dword ptr -78Ch  | * | var_784 = dword ptr -784h ,data,1
var_788 = dword ptr -788h  | * | var_778 = qword ptr -778h ,data,1
var_784 = dword ptr -784h  | * | var_770 = qword ptr -770h ,data,1
var_778 = qword ptr -778h  | * | var_768 = byte ptr -768h ,data,1
var_770 = qword ptr -770h  | * | var_760 = qword ptr -760h ,data,1
var_768 = byte ptr -768h  | * | var_758 = qword ptr -758h ,data,1
var_760 = qword ptr -760h  | * | var_750 = qword ptr -750h ,data,1
var_758 = qword ptr -758h  | * | var_748 = qword ptr -748h ,data,1
var_750 = qword ptr -750h  | * | var_740 = qword ptr -740h ,data,1
var_748 = qword ptr -748h  | * | var_738 = qword ptr -738h ,data,1
var_740 = qword ptr -740h  | * | var_730 = qword ptr -730h ,data,1
var_738 = qword ptr -738h  | * | var_718 = qword ptr -718h ,data,1
var_730 = qword ptr -730h  | * | var_710 = qword ptr -710h ,data,1
var_718 = qword ptr -718h  | * | var_6F8 = qword ptr -6F8h ,data,1
var_710 = qword ptr -710h  | * | var_6F0 = qword ptr -6F0h ,data,1
var_6F8 = qword ptr -6F8h  | * | var_6E8 = qword ptr -6E8h ,data,1
var_6F0 = qword ptr -6F0h  | * | var_6E0 = qword ptr -6E0h ,data,1
var_6E8 = qword ptr -6E8h  | * | var_6D8 = qword ptr -6D8h ,data,1
var_6E0 = qword ptr -6E0h  | * | var_6C0 = qword ptr -6C0h ,data,1
var_6D8 = qword ptr -6D8h  | * | var_6B8 = qword ptr -6B8h ,data,1
var_6C0 = qword ptr -6C0h  | * | var_6B0 = qword ptr -6B0h ,data,1
var_6B8 = qword ptr -6B8h  | * | var_6A8 = qword ptr -6A8h ,data,1
var_6B0 = qword ptr -6B0h  | * | var_6A0 = qword ptr -6A0h ,data,1
var_6A8 = qword ptr -6A8h  | * | var_698 = qword ptr -698h ,data,1
var_6A0 = qword ptr -6A0h  | * | var_690 = qword ptr -690h ,data,1
var_698 = qword ptr -698h  | * | var_688 = qword ptr -688h ,data,1
var_690 = qword ptr -690h  | * | var_680 = qword ptr -680h ,data,1
var_688 = qword ptr -688h  | * | var_678 = qword ptr -678h ,data,1
var_680 = qword ptr -680h  | * | var_670 = qword ptr -670h ,data,1
var_678 = qword ptr -678h  | * | var_668 = qword ptr -668h ,data,1
var_670 = qword ptr -670h  | * | var_660 = qword ptr -660h ,data,1
var_668 = qword ptr -668h  | * | var_658 = qword ptr -658h ,data,1
var_660 = qword ptr -660h  | * | var_650 = qword ptr -650h ,data,1
var_658 = qword ptr -658h  | * | var_648 = qword ptr -648h ,data,1
var_650 = qword ptr -650h  | * | var_640 = qword ptr -640h ,data,1
var_648 = qword ptr -648h  | * | var_638 = qword ptr -638h ,data,1
var_640 = qword ptr -640h  | * | var_630 = qword ptr -630h ,data,1
var_638 = qword ptr -638h  | * | var_628 = qword ptr -628h ,data,1
var_630 = qword ptr -630h  | * | var_620 = qword ptr -620h ,data,1
var_628 = qword ptr -628h  | * | var_608 = qword ptr -608h ,data,1
var_620 = qword ptr -620h  | * | var_600 = qword ptr -600h ,data,1
var_608 = qword ptr -608h  | * | var_5E8 = qword ptr -5E8h ,data,1
var_600 = qword ptr -600h  | * | var_5E0 = qword ptr -5E0h ,data,1
var_5E8 = qword ptr -5E8h  | * | var_5D8 = qword ptr -5D8h ,data,1
var_5E0 = qword ptr -5E0h  | * | var_5D0 = qword ptr -5D0h ,data,1
var_5D8 = qword ptr -5D8h  | * | var_5C8 = qword ptr -5C8h ,data,1
var_5D0 = qword ptr -5D0h  | * | var_5B0 = qword ptr -5B0h ,data,1
var_5C8 = qword ptr -5C8h  | * | var_5A8 = qword ptr -5A8h ,data,1
var_5B0 = qword ptr -5B0h  | * | var_5A0 = qword ptr -5A0h ,data,1
var_5A8 = qword ptr -5A8h  | * | var_598 = qword ptr -598h ,data,1
var_5A0 = qword ptr -5A0h  | * | var_590 = qword ptr -590h ,data,1
var_598 = qword ptr -598h  | * | var_588 = qword ptr -588h ,data,1
var_590 = qword ptr -590h  | * | var_580 = dword ptr -580h ,data,1
var_588 = qword ptr -588h  | * | var_57C = dword ptr -57Ch ,data,1
var_580 = dword ptr -580h  | * | var_578 = qword ptr -578h ,data,1
var_57C = dword ptr -57Ch  | * | var_570 = qword ptr -570h ,data,1
var_578 = qword ptr -578h  | * | var_568 = qword ptr -568h ,data,1
var_570 = qword ptr -570h  | * | var_560 = qword ptr -560h ,data,1
var_568 = qword ptr -568h  | * | var_558 = qword ptr -558h ,data,1
var_560 = qword ptr -560h  | * | var_550 = qword ptr -550h ,data,1
var_558 = qword ptr -558h  | * | var_548 = dword ptr -548h ,data,1
var_550 = qword ptr -550h  | * | var_544 = dword ptr -544h ,data,1
var_548 = dword ptr -548h  | * | var_540 = qword ptr -540h ,data,1
var_544 = dword ptr -544h  | * | var_538 = qword ptr -538h ,data,1
var_540 = qword ptr -540h  | * | var_530 = qword ptr -530h ,data,1
var_538 = qword ptr -538h  | * | var_528 = qword ptr -528h ,data,1
var_530 = qword ptr -530h  | * | var_520 = qword ptr -520h ,data,1
var_528 = qword ptr -528h  | * | var_518 = qword ptr -518h ,data,1
var_520 = qword ptr -520h  | * | var_510 = qword ptr -510h ,data,1
var_518 = qword ptr -518h  | * | var_508 = qword ptr -508h ,data,1
var_510 = qword ptr -510h  | * | var_500 = qword ptr -500h ,data,1
var_508 = qword ptr -508h  | * | var_4F8 = qword ptr -4F8h ,data,1
var_500 = qword ptr -500h  | * | var_4F0 = qword ptr -4F0h ,data,1
var_4F8 = qword ptr -4F8h  | * | var_4E8 = qword ptr -4E8h ,data,1
var_4F0 = qword ptr -4F0h  | * | var_4E0 = qword ptr -4E0h ,data,1
var_4E8 = qword ptr -4E8h  | * | var_4D8 = qword ptr -4D8h ,data,1
var_4E0 = qword ptr -4E0h  | * | var_4D0 = qword ptr -4D0h ,data,1
var_4D8 = qword ptr -4D8h  | * | var_4C8 = qword ptr -4C8h ,data,1
var_4D0 = qword ptr -4D0h  | * | var_4C0 = qword ptr -4C0h ,data,1
var_4C8 = qword ptr -4C8h  | * | var_4B8 = qword ptr -4B8h ,data,1
var_4C0 = qword ptr -4C0h  | * | var_4B0 = qword ptr -4B0h ,data,1
var_4B8 = qword ptr -4B8h  | * | var_4A8 = qword ptr -4A8h ,data,1
var_4B0 = qword ptr -4B0h  | * | var_49C = dword ptr -49Ch ,data,1
var_4A8 = qword ptr -4A8h  | * | var_498 = qword ptr -498h ,data,1
var_49C = dword ptr -49Ch  | * | var_490 = qword ptr -490h ,data,1
var_498 = qword ptr -498h  | * | var_488 = qword ptr -488h ,data,1
var_490 = qword ptr -490h  | * | var_480 = qword ptr -480h ,data,1
var_488 = qword ptr -488h  | * | var_478 = qword ptr -478h ,data,1
var_480 = qword ptr -480h  | * | var_470 = qword ptr -470h ,data,1
var_478 = qword ptr -478h  | * | var_468 = qword ptr -468h ,data,1
var_470 = qword ptr -470h  | * | var_460 = qword ptr -460h ,data,1
var_468 = qword ptr -468h  | * | var_458 = qword ptr -458h ,data,1
var_460 = qword ptr -460h  | * | var_450 = qword ptr -450h ,data,1
var_458 = qword ptr -458h  | * | var_448 = qword ptr -448h ,data,1
var_450 = qword ptr -450h  | * | var_440 = qword ptr -440h ,data,1
var_448 = qword ptr -448h  | * | var_438 = qword ptr -438h ,data,1
var_440 = qword ptr -440h  | * | var_430 = qword ptr -430h ,data,1
var_438 = qword ptr -438h  | * | var_428 = qword ptr -428h ,data,1
var_430 = qword ptr -430h  | * | var_420 = qword ptr -420h ,data,1
var_428 = qword ptr -428h  | * | var_418 = qword ptr -418h ,data,1
var_420 = qword ptr -420h  | * | var_410 = qword ptr -410h ,data,1
var_418 = qword ptr -418h  | * | var_408 = qword ptr -408h ,data,1
var_410 = qword ptr -410h  | * | var_400 = qword ptr -400h ,data,1
var_408 = qword ptr -408h  | * | var_3F8 = qword ptr -3F8h ,data,1
var_400 = qword ptr -400h  | * | var_3F0 = qword ptr -3F0h ,data,1
var_3F8 = qword ptr -3F8h  | * | var_3E8 = qword ptr -3E8h ,data,1
var_3F0 = qword ptr -3F0h  | * | var_3E0 = qword ptr -3E0h ,data,1
var_3E8 = qword ptr -3E8h  | * | var_3D8 = qword ptr -3D8h ,data,1
var_3E0 = qword ptr -3E0h  | * | var_3D0 = qword ptr -3D0h ,data,1
var_3D8 = qword ptr -3D8h  | * | var_3C8 = qword ptr -3C8h ,data,1
var_3D0 = qword ptr -3D0h  | * | var_3C0 = qword ptr -3C0h ,data,1
var_3C8 = qword ptr -3C8h  | * | var_3B8 = qword ptr -3B8h ,data,1
var_3C0 = qword ptr -3C0h  | * | var_3B0 = qword ptr -3B0h ,data,1
var_3B8 = qword ptr -3B8h  | * | var_3A8 = qword ptr -3A8h ,data,1
var_3B0 = qword ptr -3B0h  | * | var_3A0 = qword ptr -3A0h ,data,1
var_3A8 = qword ptr -3A8h  | * | var_398 = qword ptr -398h ,data,1
var_3A0 = qword ptr -3A0h  | * | var_390 = qword ptr -390h ,data,1
var_398 = qword ptr -398h  | * | var_388 = qword ptr -388h ,data,1
var_390 = qword ptr -390h  | * | var_380 = qword ptr -380h ,data,1
var_388 = qword ptr -388h  | * | var_378 = qword ptr -378h ,data,1
var_380 = qword ptr -380h  | * | var_370 = qword ptr -370h ,data,1
var_378 = qword ptr -378h  | * | var_368 = qword ptr -368h ,data,1
var_370 = qword ptr -370h  | * | var_360 = qword ptr -360h ,data,1
var_368 = qword ptr -368h  | * | var_358 = qword ptr -358h ,data,1
var_360 = qword ptr -360h  | * | var_350 = qword ptr -350h ,data,1
var_358 = qword ptr -358h  | * | var_348 = qword ptr -348h ,data,1
var_350 = qword ptr -350h  | * | var_340 = qword ptr -340h ,data,1
