idiom,label,count
"push rbp  | * | mov al, dil ",xcode,1
"lea rax, _was  | * | movsxd rcx, [rbp+var_4] ",xcode,1
"mov [rbp+var_4], edi  | * | mov dword ptr [rax+rcx*4], 1 ",xcode,1
"movsxd rcx, [rbp+var_4]  | * | mov [rbp+var_8], 0 ",xcode,1
"mov dword ptr [rax+rcx*4], 1  | * | loc_1000012D4:  ",xcode,1
"mov [rbp+var_8], 0  | * | cmp [rbp+var_8], 22h  ",xcode,1
loc_1000012D4:   | * | jge loc_100001365 ,xcode,1
"cmp [rbp+var_8], 22h   | * | lea rax, _g ",xcode,1
"jge loc_100001365  | * | movsxd rcx, [rbp+var_8] ",xcode,1
"lea rax, _g  | * | movsxd rdx, [rbp+var_4] ",xcode,1
"movsxd rcx, [rbp+var_8]  | * | imul rdx, 88h ",xcode,1
"movsxd rdx, [rbp+var_4]  | * | add rax, rdx ",xcode,1
"imul rdx, 88h  | * | cmp dword ptr [rax+rcx*4], 0 ",xcode,3
"add rax, rdx  | * | jnz loc_10000132D ",xcode,1
"cmp dword ptr [rax+rcx*4], 0  | * | lea rax, _g ",xcode,1
"jnz loc_10000132D  | * | movsxd rcx, [rbp+var_4] ",xcode,1
"lea rax, _g  | * | movsxd rdx, [rbp+var_8] ",xcode,1
"movsxd rcx, [rbp+var_4]  | * | imul rdx, 88h ",xcode,1
"movsxd rdx, [rbp+var_8]  | * | add rax, rdx ",xcode,1
"add rax, rdx  | * | jz loc_100001350 ",xcode,1
"cmp dword ptr [rax+rcx*4], 0  | * | loc_10000132D:  ",xcode,1
"jz loc_100001350  | * | lea rax, _was ",xcode,1
"loc_10000132D:   | * | movsxd rcx, [rbp+var_8] ",xcode,1
"lea rax, _was  | * | cmp dword ptr [rax+rcx*4], 0 ",xcode,3
"movsxd rcx, [rbp+var_8]  | * | jnz loc_100001350 ",xcode,1
"cmp dword ptr [rax+rcx*4], 0  | * | mov edi, [rbp+var_8]  ",xcode,1
jnz loc_100001350  | * | call __Z2goi  ,xcode,1
"mov edi, [rbp+var_8]   | * | mov [rbp+var_C], eax ",xcode,1
call __Z2goi   | * | loc_100001350:  ,xcode,1
"mov [rbp+var_C], eax  | * | jmp $+5 ",xcode,1
loc_100001350:   | * | loc_100001355:  ,xcode,1
"jmp $+5  | * | mov eax, [rbp+var_8] ",xcode,1
"loc_100001355:   | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_8]  | * | mov [rbp+var_8], eax ",xcode,1
"add eax, 1  | * | jmp loc_1000012D4 ",xcode,1
"mov [rbp+var_8], eax  | * | loc_100001365:  ",xcode,1
"jmp loc_1000012D4  | * | mov eax, 0 ",xcode,1
"loc_100001365:   | * | add rsp, 10h ",xcode,1
"mov eax, 0  | * | pop rbp ",xcode,2
"add rsp, 10h  | * | retn ",xcode,4
pop rbp  | * | __Z2goi endp ,xcode,1
retn  | * | public _main ,xcode,1
__Z2goi endp  | * | _main proc near ,xcode,1
var_580 = qword ptr -580h  | * | var_56C = dword ptr -56Ch ,data,1
var_578 = qword ptr -578h  | * | var_568 = qword ptr -568h ,data,1
var_56C = dword ptr -56Ch  | * | var_55C = dword ptr -55Ch ,data,1
var_568 = qword ptr -568h  | * | var_558 = qword ptr -558h ,data,1
var_55C = dword ptr -55Ch  | * | var_550 = qword ptr -550h ,data,1
var_558 = qword ptr -558h  | * | var_548 = qword ptr -548h ,data,1
var_550 = qword ptr -550h  | * | var_53C = dword ptr -53Ch ,data,1
var_548 = qword ptr -548h  | * | var_538 = qword ptr -538h ,data,1
var_53C = dword ptr -53Ch  | * | var_530 = qword ptr -530h ,data,1
var_538 = qword ptr -538h  | * | var_528 = qword ptr -528h ,data,1
var_530 = qword ptr -530h  | * | var_520 = qword ptr -520h ,data,1
var_528 = qword ptr -528h  | * | var_518 = qword ptr -518h ,data,1
var_520 = qword ptr -520h  | * | var_510 = qword ptr -510h ,data,1
var_518 = qword ptr -518h  | * | var_508 = qword ptr -508h ,data,1
var_510 = qword ptr -510h  | * | var_500 = qword ptr -500h ,data,1
var_508 = qword ptr -508h  | * | var_4F8 = qword ptr -4F8h ,data,1
var_500 = qword ptr -500h  | * | var_4F0 = qword ptr -4F0h ,data,1
var_4F8 = qword ptr -4F8h  | * | var_4E8 = qword ptr -4E8h ,data,1
var_4F0 = qword ptr -4F0h  | * | var_4E0 = qword ptr -4E0h ,data,1
var_4E8 = qword ptr -4E8h  | * | var_4D8 = qword ptr -4D8h ,data,1
var_4E0 = qword ptr -4E0h  | * | var_4D0 = qword ptr -4D0h ,data,1
var_4D8 = qword ptr -4D8h  | * | var_4C8 = qword ptr -4C8h ,data,1
var_4D0 = qword ptr -4D0h  | * | var_4C0 = qword ptr -4C0h ,data,1
var_4C8 = qword ptr -4C8h  | * | var_4B8 = qword ptr -4B8h ,data,1
var_4C0 = qword ptr -4C0h  | * | var_4B0 = qword ptr -4B0h ,data,1
var_4B8 = qword ptr -4B8h  | * | var_4A8 = qword ptr -4A8h ,data,1
var_4B0 = qword ptr -4B0h  | * | var_4A0 = qword ptr -4A0h ,data,1
var_4A8 = qword ptr -4A8h  | * | var_498 = qword ptr -498h ,data,1
var_4A0 = qword ptr -4A0h  | * | var_490 = qword ptr -490h ,data,1
var_498 = qword ptr -498h  | * | var_488 = qword ptr -488h ,data,1
var_490 = qword ptr -490h  | * | var_480 = qword ptr -480h ,data,1
var_488 = qword ptr -488h  | * | var_478 = dword ptr -478h ,data,1
var_480 = qword ptr -480h  | * | var_474 = dword ptr -474h ,data,1
var_478 = dword ptr -478h  | * | var_470 = dword ptr -470h ,data,1
var_474 = dword ptr -474h  | * | var_46C = dword ptr -46Ch ,data,1
var_470 = dword ptr -470h  | * | var_468 = dword ptr -468h ,data,1
var_46C = dword ptr -46Ch  | * | var_464 = dword ptr -464h ,data,1
var_468 = dword ptr -468h  | * | var_460 = dword ptr -460h ,data,1
var_464 = dword ptr -464h  | * | var_45C = dword ptr -45Ch ,data,1
var_460 = dword ptr -460h  | * | var_458 = dword ptr -458h ,data,1
var_45C = dword ptr -45Ch  | * | var_454 = dword ptr -454h ,data,1
var_458 = dword ptr -458h  | * | var_450 = dword ptr -450h ,data,1
var_454 = dword ptr -454h  | * | var_44C = dword ptr -44Ch ,data,1
var_450 = dword ptr -450h  | * | var_448 = dword ptr -448h ,data,1
var_44C = dword ptr -44Ch  | * | var_444 = dword ptr -444h ,data,1
var_448 = dword ptr -448h  | * | var_440 = dword ptr -440h ,data,1
var_444 = dword ptr -444h  | * | var_43C = dword ptr -43Ch ,data,1
var_440 = dword ptr -440h  | * | var_438 = dword ptr -438h ,data,1
var_43C = dword ptr -43Ch  | * | var_434 = dword ptr -434h ,data,1
var_438 = dword ptr -438h  | * | var_430 = dword ptr -430h ,data,1
var_434 = dword ptr -434h  | * | var_42C = dword ptr -42Ch ,data,1
var_430 = dword ptr -430h  | * | var_428 = dword ptr -428h ,data,1
var_42C = dword ptr -42Ch  | * | var_424 = dword ptr -424h ,data,1
var_428 = dword ptr -428h  | * | var_420 = qword ptr -420h ,data,1
var_424 = dword ptr -424h  | * | var_418 = qword ptr -418h ,data,1
var_420 = qword ptr -420h  | * | var_410 = qword ptr -410h ,data,1
var_418 = qword ptr -418h  | * | var_408 = qword ptr -408h ,data,1
var_410 = qword ptr -410h  | * | var_400 = qword ptr -400h ,data,1
var_408 = qword ptr -408h  | * | var_3F8 = qword ptr -3F8h ,data,1
var_400 = qword ptr -400h  | * | var_3F0 = qword ptr -3F0h ,data,1
var_3F8 = qword ptr -3F8h  | * | var_3E8 = qword ptr -3E8h ,data,1
var_3F0 = qword ptr -3F0h  | * | var_3E0 = qword ptr -3E0h ,data,1
var_3E8 = qword ptr -3E8h  | * | var_3D8 = qword ptr -3D8h ,data,1
var_3E0 = qword ptr -3E0h  | * | var_3D0 = qword ptr -3D0h ,data,1
var_3D8 = qword ptr -3D8h  | * | var_3C8 = qword ptr -3C8h ,data,1
var_3D0 = qword ptr -3D0h  | * | var_3B0 = qword ptr -3B0h ,data,1
var_3C8 = qword ptr -3C8h  | * | var_3A8 = qword ptr -3A8h ,data,1
var_3B0 = qword ptr -3B0h  | * | var_390 = qword ptr -390h ,data,1
var_3A8 = qword ptr -3A8h  | * | var_388 = qword ptr -388h ,data,1
var_390 = qword ptr -390h  | * | var_380 = qword ptr -380h ,data,1
var_388 = qword ptr -388h  | * | var_378 = qword ptr -378h ,data,1
var_380 = qword ptr -380h  | * | var_370 = qword ptr -370h ,data,1
var_378 = qword ptr -378h  | * | var_358 = qword ptr -358h ,data,1
var_370 = qword ptr -370h  | * | var_350 = qword ptr -350h ,data,1
var_358 = qword ptr -358h  | * | var_348 = qword ptr -348h ,data,1
var_350 = qword ptr -350h  | * | var_340 = qword ptr -340h ,data,1
var_348 = qword ptr -348h  | * | var_338 = qword ptr -338h ,data,1
var_340 = qword ptr -340h  | * | var_330 = qword ptr -330h ,data,1
var_338 = qword ptr -338h  | * | var_328 = qword ptr -328h ,data,1
var_330 = qword ptr -330h  | * | var_320 = qword ptr -320h ,data,1
var_328 = qword ptr -328h  | * | var_318 = qword ptr -318h ,data,1
var_320 = qword ptr -320h  | * | var_310 = qword ptr -310h ,data,1
var_318 = qword ptr -318h  | * | var_308 = qword ptr -308h ,data,1
var_310 = qword ptr -310h  | * | var_300 = qword ptr -300h ,data,1
var_308 = qword ptr -308h  | * | var_2F8 = qword ptr -2F8h ,data,1
var_300 = qword ptr -300h  | * | var_2F0 = qword ptr -2F0h ,data,1
var_2F8 = qword ptr -2F8h  | * | var_2E8 = qword ptr -2E8h ,data,1
var_2F0 = qword ptr -2F0h  | * | var_2E0 = qword ptr -2E0h ,data,1
var_2E8 = qword ptr -2E8h  | * | var_2D8 = qword ptr -2D8h ,data,1
var_2E0 = qword ptr -2E0h  | * | var_2D0 = qword ptr -2D0h ,data,1
var_2D8 = qword ptr -2D8h  | * | var_2C8 = qword ptr -2C8h ,data,1
var_2D0 = qword ptr -2D0h  | * | var_2C0 = qword ptr -2C0h ,data,1
var_2C8 = qword ptr -2C8h  | * | var_2B8 = qword ptr -2B8h ,data,1
var_2C0 = qword ptr -2C0h  | * | var_2B0 = qword ptr -2B0h ,data,2
var_2B8 = qword ptr -2B8h  | * | var_2A8 = qword ptr -2A8h ,data,2
var_2B0 = qword ptr -2B0h  | * | var_2A0 = qword ptr -2A0h ,data,2
var_2A8 = qword ptr -2A8h  | * | var_298 = qword ptr -298h ,data,2
var_2A0 = qword ptr -2A0h  | * | var_290 = qword ptr -290h ,data,2
var_298 = qword ptr -298h  | * | var_288 = qword ptr -288h ,data,3
var_290 = qword ptr -290h  | * | var_280 = qword ptr -280h ,data,2
var_288 = qword ptr -288h  | * | var_278 = qword ptr -278h ,data,3
var_280 = qword ptr -280h  | * | var_270 = qword ptr -270h ,data,2
var_278 = qword ptr -278h  | * | var_268 = qword ptr -268h ,data,2
var_270 = qword ptr -270h  | * | var_260 = qword ptr -260h ,data,1
var_268 = qword ptr -268h  | * | var_258 = qword ptr -258h ,data,1
var_260 = qword ptr -260h  | * | var_250 = qword ptr -250h ,data,1
var_258 = qword ptr -258h  | * | var_248 = qword ptr -248h ,data,1
var_250 = qword ptr -250h  | * | var_240 = qword ptr -240h ,data,2
var_248 = qword ptr -248h  | * | var_238 = qword ptr -238h ,data,2
var_240 = qword ptr -240h  | * | var_230 = qword ptr -230h ,data,3
var_238 = qword ptr -238h  | * | var_228 = qword ptr -228h ,data,2
var_230 = qword ptr -230h  | * | var_220 = qword ptr -220h ,data,2
var_228 = qword ptr -228h  | * | var_218 = qword ptr -218h ,data,2
var_220 = qword ptr -220h  | * | var_210 = qword ptr -210h ,data,2
var_218 = qword ptr -218h  | * | var_208 = qword ptr -208h ,data,2
var_210 = qword ptr -210h  | * | var_200 = qword ptr -200h ,data,2
var_208 = qword ptr -208h  | * | var_1F8 = qword ptr -1F8h ,data,2
var_200 = qword ptr -200h  | * | var_1F0 = qword ptr -1F0h ,data,2
var_1F8 = qword ptr -1F8h  | * | var_1E8 = qword ptr -1E8h ,data,3
var_1F0 = qword ptr -1F0h  | * | var_1E0 = qword ptr -1E0h ,data,3
var_1E8 = qword ptr -1E8h  | * | var_1D8 = qword ptr -1D8h ,data,3
var_1E0 = qword ptr -1E0h  | * | var_1D0 = qword ptr -1D0h ,data,3
var_1D8 = qword ptr -1D8h  | * | var_1C8 = qword ptr -1C8h ,data,3
var_1D0 = qword ptr -1D0h  | * | var_1C0 = qword ptr -1C0h ,data,3
var_1C8 = qword ptr -1C8h  | * | var_1B8 = qword ptr -1B8h ,data,3
var_1C0 = qword ptr -1C0h  | * | var_1B0 = qword ptr -1B0h ,data,3
var_1B8 = qword ptr -1B8h  | * | var_1A8 = qword ptr -1A8h ,data,3
var_1B0 = qword ptr -1B0h  | * | var_1A0 = qword ptr -1A0h ,data,3
var_1A8 = qword ptr -1A8h  | * | var_198 = qword ptr -198h ,data,3
var_1A0 = qword ptr -1A0h  | * | var_190 = qword ptr -190h ,data,3
var_198 = qword ptr -198h  | * | var_188 = qword ptr -188h ,data,3
var_190 = qword ptr -190h  | * | var_180 = qword ptr -180h ,data,3
var_188 = qword ptr -188h  | * | var_178 = qword ptr -178h ,data,4
var_180 = qword ptr -180h  | * | var_170 = qword ptr -170h ,data,3
var_178 = qword ptr -178h  | * | var_168 = qword ptr -168h ,data,4
var_170 = qword ptr -170h  | * | var_160 = qword ptr -160h ,data,3
var_168 = qword ptr -168h  | * | var_158 = qword ptr -158h ,data,5
var_160 = qword ptr -160h  | * | var_150 = qword ptr -150h ,data,6
var_158 = qword ptr -158h  | * | var_148 = qword ptr -148h ,data,6
var_150 = qword ptr -150h  | * | var_140 = qword ptr -140h ,data,5
var_148 = qword ptr -148h  | * | var_138 = qword ptr -138h ,data,4
var_140 = qword ptr -140h  | * | var_130 = qword ptr -130h ,data,4
var_138 = qword ptr -138h  | * | var_128 = qword ptr -128h ,data,5
var_130 = qword ptr -130h  | * | var_120 = qword ptr -120h ,data,5
var_128 = qword ptr -128h  | * | var_118 = qword ptr -118h ,data,7
var_120 = qword ptr -120h  | * | var_110 = qword ptr -110h ,data,6
var_118 = qword ptr -118h  | * | var_108 = qword ptr -108h ,data,8
var_110 = qword ptr -110h  | * | var_100 = qword ptr -100h ,data,8
var_108 = qword ptr -108h  | * | var_F8 = qword ptr -0F8h ,data,8
var_100 = qword ptr -100h  | * | var_F0 = qword ptr -0F0h ,data,8
var_F8 = qword ptr -0F8h  | * | var_E0 = qword ptr -0E0h ,data,2
var_F0 = qword ptr -0F0h  | * | var_D8 = qword ptr -0D8h ,data,1
var_E0 = qword ptr -0E0h  | * | var_D0 = byte ptr -0D0h ,data,1
var_D8 = qword ptr -0D8h  | * | var_C8 = qword ptr -0C8h ,data,9
var_D0 = byte ptr -0D0h  | * | var_C0 = qword ptr -0C0h ,data,1
var_C8 = qword ptr -0C8h  | * | var_B8 = qword ptr -0B8h ,data,9
var_C0 = qword ptr -0C0h  | * | var_B0 = qword ptr -0B0h ,data,8
var_B8 = qword ptr -0B8h  | * | var_A8 = qword ptr -0A8h ,data,9
var_B0 = qword ptr -0B0h  | * | var_98 = qword ptr -98h ,data,1
var_A8 = qword ptr -0A8h  | * | var_90 = qword ptr -90h ,data,1
var_98 = qword ptr -98h  | * | var_88 = byte ptr -88h ,data,1
var_90 = qword ptr -90h  | * | var_80 = qword ptr -80h ,data,8
var_88 = byte ptr -88h  | * | var_78 = qword ptr -78h ,data,1
var_80 = qword ptr -80h  | * | var_70 = qword ptr -70h ,data,7
var_78 = qword ptr -78h  | * | var_68 = qword ptr -68h ,data,9
var_70 = qword ptr -70h  | * | var_60 = qword ptr -60h ,data,7
var_68 = qword ptr -68h  | * | var_50 = qword ptr -50h ,data,1
var_60 = qword ptr -60h  | * | var_48 = qword ptr -48h ,data,1
var_50 = qword ptr -50h  | * | var_40 = byte ptr -40h ,data,1
var_48 = qword ptr -48h  | * | var_38 = qword ptr -38h ,data,9
var_40 = byte ptr -40h  | * | var_30 = qword ptr -30h ,data,1
var_38 = qword ptr -38h  | * | var_28 = qword ptr -28h ,data,8
var_30 = qword ptr -30h  | * | var_20 = qword ptr -20h ,data,8
var_28 = qword ptr -28h  | * | var_18 = qword ptr -18h ,data,8
var_20 = qword ptr -20h  | * | var_10 = qword ptr -10h ,data,10
var_18 = qword ptr -18h  | * | var_8 = qword ptr -8 ,data,10
"push rbp  | * | sub rsp, 580h ",xcode,1
"mov rbp, rsp  | * | mov rdi, cs:__ZNSt3__13cinE_ptr ",xcode,1
"sub rsp, 580h  | * | lea rsi, [rbp+var_428] ",xcode,1
"mov rdi, cs:__ZNSt3__13cinE_ptr  | * | mov [rbp+var_424], 0 ",xcode,1
"lea rsi, [rbp+var_428]  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,1
"mov [rbp+var_424], 0  | * | mov [rbp+var_42C], 1 ",xcode,1
"call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi   | * | mov [rbp+var_480], rax ",xcode,1
"mov [rbp+var_42C], 1  | * | loc_1000013A9:  ",xcode,1
"mov [rbp+var_480], rax  | * | mov eax, [rbp+var_42C] ",xcode,1
"loc_1000013A9:   | * | cmp eax, [rbp+var_428] ",xcode,1
"mov eax, [rbp+var_42C]  | * | jg loc_10000246D ",xcode,1
"cmp eax, [rbp+var_428]  | * | mov rdi, cs:__ZNSt3__13cinE_ptr ",xcode,1
"jg loc_10000246D  | * | lea rsi, _n ",xcode,1
"mov rdi, cs:__ZNSt3__13cinE_ptr  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,1
"lea rsi, _n  | * | lea rsi, _s ",xcode,1
"call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi   | * | mov rdi, rax ",xcode,1
"lea rsi, _s  | * | call j___ZNSt3__1rsIcNS_11char_traitsIcEENS_9allocatorIcEEEERNS_13basic_istreamIT_T0_EES9_RNS_12basic_stringIS6_S7_T1_EE  ",xcode,1
"mov rdi, rax  | * | lea rsi, _s ",xcode,1
"call j___ZNSt3__1rsIcNS_11char_traitsIcEENS_9allocatorIcEEEERNS_13basic_istreamIT_T0_EES9_RNS_12basic_stringIS6_S7_T1_EE   | * | mov [rbp+var_420], rsi ",xcode,1
"lea rsi, _s  | * | mov rsi, [rbp+var_420] ",xcode,1
"mov [rbp+var_420], rsi  | * | mov [rbp+var_418], rsi ",xcode,1
"mov rsi, [rbp+var_420]  | * | mov rdi, [rbp+var_418] ",xcode,1
"mov [rbp+var_418], rsi  | * | mov [rbp+var_410], rdi ",xcode,1
"mov rdi, [rbp+var_418]  | * | mov rdi, [rbp+var_410] ",xcode,1
"mov [rbp+var_410], rdi  | * | mov [rbp+var_408], rdi ",xcode,1
"mov rdi, [rbp+var_410]  | * | mov rdi, [rbp+var_408] ",xcode,1
"mov [rbp+var_408], rdi  | * | movzx ecx, byte ptr [rdi] ",xcode,1
"mov rdi, [rbp+var_408]  | * | and ecx, 1 ",xcode,1
"movzx ecx, byte ptr [rdi]  | * | cmp ecx, 0 ",xcode,1
"and ecx, 1  | * | mov [rbp+var_488], rax ",xcode,1
"cmp ecx, 0  | * | mov [rbp+var_490], rsi ",xcode,1
"mov [rbp+var_488], rax  | * | jz loc_100001480 ",xcode,1
"mov [rbp+var_490], rsi  | * | mov rax, [rbp+var_490] ",xcode,1
"jz loc_100001480  | * | mov [rbp+var_3E8], rax ",xcode,1
"mov rax, [rbp+var_490]  | * | mov rcx, [rbp+var_3E8] ",xcode,1
"mov [rbp+var_3E8], rax  | * | mov [rbp+var_3E0], rcx ",xcode,1
"mov rcx, [rbp+var_3E8]  | * | mov rcx, [rbp+var_3E0] ",xcode,1
"mov [rbp+var_3E0], rcx  | * | mov [rbp+var_3D8], rcx ",xcode,1
"mov rcx, [rbp+var_3E0]  | * | mov rcx, [rbp+var_3D8] ",xcode,1
"mov [rbp+var_3D8], rcx  | * | mov rcx, [rcx+8] ",xcode,1
"mov rcx, [rbp+var_3D8]  | * | mov [rbp+var_498], rcx ",xcode,1
"mov rcx, [rcx+8]  | * | jmp loc_1000014C1 ",xcode,1
"mov [rbp+var_498], rcx  | * | loc_100001480:  ",xcode,1
"jmp loc_1000014C1  | * | mov rax, [rbp+var_490] ",xcode,1
"loc_100001480:   | * | mov [rbp+var_400], rax ",xcode,1
"mov rax, [rbp+var_490]  | * | mov rcx, [rbp+var_400] ",xcode,1
"mov [rbp+var_400], rax  | * | mov [rbp+var_3F8], rcx ",xcode,1
"mov rcx, [rbp+var_400]  | * | mov rcx, [rbp+var_3F8] ",xcode,1
"mov [rbp+var_3F8], rcx  | * | mov [rbp+var_3F0], rcx ",xcode,1
"mov rcx, [rbp+var_3F8]  | * | mov rcx, [rbp+var_3F0] ",xcode,1
"mov [rbp+var_3F0], rcx  | * | movzx edx, byte ptr [rcx] ",xcode,1
"mov rcx, [rbp+var_3F0]  | * | sar edx, 1 ",xcode,1
"movzx edx, byte ptr [rcx]  | * | movsxd rcx, edx ",xcode,1
"sar edx, 1  | * | mov [rbp+var_498], rcx ",xcode,1
"movsxd rcx, edx  | * | loc_1000014C1:  ",xcode,1
"mov [rbp+var_498], rcx  | * | mov rax, [rbp+var_498] ",xcode,1
"loc_1000014C1:   | * | mov ecx, eax ",xcode,1
"mov rax, [rbp+var_498]  | * | mov cs:_m, ecx ",xcode,1
"mov ecx, eax  | * | mov [rbp+var_430], 0 ",xcode,1
"mov cs:_m, ecx  | * | loc_1000014DA:  ",xcode,1
"mov [rbp+var_430], 0  | * | mov eax, [rbp+var_430] ",xcode,1
"loc_1000014DA:   | * | cmp eax, cs:_m ",xcode,1
"mov eax, [rbp+var_430]  | * | jge loc_100001C6A ",xcode,1
"cmp eax, cs:_m  | * | lea rax, _v ",xcode,1
"jge loc_100001C6A  | * | movsxd rcx, [rbp+var_430] ",xcode,1
"lea rax, _v  | * | imul rcx, 18h ",xcode,1
"movsxd rcx, [rbp+var_430]  | * | add rax, rcx ",xcode,1
"imul rcx, 18h  | * | mov [rbp+var_3B0], rax ",xcode,1
"add rax, rcx  | * | mov rax, [rbp+var_3B0] ",xcode,1
"mov [rbp+var_3B0], rax  | * | mov rcx, rax ",xcode,1
"mov rax, [rbp+var_3B0]  | * | mov [rbp+var_3A8], rcx ",xcode,1
"mov rcx, rax  | * | mov rcx, [rbp+var_3A8] ",xcode,1
"mov [rbp+var_3A8], rcx  | * | mov rdx, [rcx] ",xcode,1
"mov rcx, [rbp+var_3A8]  | * | mov [rbp+var_388], rcx ",xcode,1
"mov rdx, [rcx]  | * | mov [rbp+var_390], rdx ",xcode,1
"mov [rbp+var_388], rcx  | * | mov rcx, [rbp+var_388] ",xcode,1
"mov [rbp+var_390], rdx  | * | mov [rbp+var_4A0], rax ",xcode,1
"mov rcx, [rbp+var_388]  | * | mov [rbp+var_4A8], rcx ",xcode,1
"mov [rbp+var_4A0], rax  | * | loc_100001549:  ",xcode,1
"mov [rbp+var_4A8], rcx  | * | mov rax, [rbp+var_390] ",xcode,1
"loc_100001549:   | * | mov rcx, [rbp+var_4A8] ",xcode,1
"mov rax, [rbp+var_390]  | * | cmp rax, [rcx+8] ",xcode,1
"mov rcx, [rbp+var_4A8]  | * | jz loc_1000015E5 ",xcode,1
"cmp rax, [rcx+8]  | * | mov rax, [rbp+var_4A8] ",xcode,1
"jz loc_1000015E5  | * | mov [rbp+var_380], rax ",xcode,1
"mov rax, [rbp+var_4A8]  | * | mov rcx, [rbp+var_380] ",xcode,1
"mov [rbp+var_380], rax  | * | add rcx, 10h ",xcode,1
"mov rcx, [rbp+var_380]  | * | mov [rbp+var_378], rcx ",xcode,1
"add rcx, 10h  | * | mov rcx, [rbp+var_378] ",xcode,1
"mov [rbp+var_378], rcx  | * | mov [rbp+var_370], rcx ",xcode,1
