idiom,label,count
var_18 = dword ptr -18h  | * | var_C = dword ptr -0Ch ,data,1
"shr eax, 1Fh  | * | lea edx, [eax+eax*4] ",msvc,1
"add eax, edx  | * | add edx, edx ",msvc,1
"lea edx, [eax+eax*4]  | * | sub ecx, edx ",msvc,1
"add edx, edx  | * | imul ecx, [ebp+var_4] ",msvc,1
"sub ecx, edx  | * | add ecx, eax ",msvc,1
"imul ecx, [ebp+var_4]  | * | dec esi ",msvc,1
"add ecx, eax  | * | jnz short loc_4010A0 ",msvc,1
dec esi  | * | loc_4010E1:  ,msvc,1
"jnz short loc_4010A0  | * | lea esi, dword_403378[edi*4] ",msvc,1
"loc_4010E1:   | * | mov eax, esi ",msvc,1
"lea esi, dword_403378[edi*4]  | * | sub eax, offset dword_403378 ",msvc,1
"mov eax, esi  | * | sar eax, 2 ",msvc,1
"sub eax, offset dword_403378  | * | push eax ",msvc,1
"sar eax, 2  | * | push esi ",msvc,2
push eax  | * | push offset dword_403378 ,msvc,1
push esi  | * | call sub_401220 ,msvc,1
"push offset dword_403378  | * | add esp, 0Ch ",msvc,1
"call sub_401220  | * | cmp esi, offset dword_403378 ",msvc,1
"add esp, 0Ch  | * | jz short loc_401145 ",msvc,1
"cmp esi, offset dword_403378  | * | mov eax, offset unk_40337C ",msvc,1
"jz short loc_401145  | * | mov ecx, offset dword_403378 ",msvc,1
"mov eax, offset unk_40337C  | * | cmp esi, eax ",msvc,1
"mov ecx, offset dword_403378  | * | jz short loc_401145 ",msvc,1
"cmp esi, eax  | * | loc_401117:  ",msvc,1
"jz short loc_401145  | * | mov edx, [ecx] ",msvc,1
"loc_401117:   | * | cmp edx, [eax] ",msvc,1
"mov edx, [ecx]  | * | jz short loc_401128 ",msvc,1
"cmp edx, [eax]  | * | mov ecx, eax ",msvc,1
"jz short loc_401128  | * | add eax, 4 ",msvc,1
"mov ecx, eax  | * | cmp eax, esi ",msvc,1
"add eax, 4  | * | jnz short loc_401117 ",msvc,1
"cmp eax, esi  | * | jmp short loc_401145 ",msvc,1
jnz short loc_401117  | * | loc_401128:  ,msvc,1
"jmp short loc_401145  | * | add eax, 4 ",msvc,1
"loc_401128:   | * | cmp eax, esi ",msvc,1
"add eax, 4  | * | jz short loc_401142 ",msvc,1
"cmp eax, esi  | * | nop ",msvc,1
jz short loc_401142  | * | loc_401130:  ,msvc,1
"nop  | * | mov edx, [eax] ",msvc,1
"loc_401130:   | * | cmp [ecx], edx ",msvc,1
"mov edx, [eax]  | * | jz short loc_40113B ",msvc,1
"cmp [ecx], edx  | * | add ecx, 4 ",msvc,1
"jz short loc_40113B  | * | mov [ecx], edx ",msvc,1
"add ecx, 4  | * | loc_40113B:  ",msvc,1
"mov [ecx], edx  | * | add eax, 4 ",msvc,1
"loc_40113B:   | * | cmp eax, esi ",msvc,1
"add eax, 4  | * | jnz short loc_401130 ",msvc,1
"cmp eax, esi  | * | loc_401142:  ",msvc,1
"jnz short loc_401130  | * | lea esi, [ecx+4] ",msvc,1
loc_401142:   | * | loc_401145:  ,msvc,1
"lea esi, [ecx+4]  | * | mov ebx, dword_403370 ",msvc,1
"loc_401145:   | * | mov ecx, [ebp+var_C] ",msvc,1
"mov ebx, dword_403370  | * | sub esi, offset dword_403378 ",msvc,1
"mov ecx, [ebp+var_C]  | * | sar esi, 2 ",msvc,1
"sub esi, offset dword_403378  | * | cmp esi, 1 ",msvc,1
"sar esi, 2  | * | jle short loc_40116E ",msvc,1
"cmp esi, 1  | * | lea eax, [esi-1] ",msvc,1
"jle short loc_40116E  | * | imul eax, esi ",msvc,1
"lea eax, [esi-1]  | * | cdq ",msvc,1
"imul eax, esi  | * | sub eax, edx ",msvc,1
"cdq  | * | sar eax, 1 ",msvc,6
"sub eax, edx  | * | cdq ",msvc,1
"sar eax, 1  | * | add [ebp+var_18], eax ",msvc,1
"cdq  | * | adc [ebp+var_14], edx ",msvc,1
"add [ebp+var_18], eax  | * | loc_40116E:  ",msvc,1
"adc [ebp+var_14], edx  | * | mov esi, [ebp+var_8] ",msvc,1
loc_40116E:   | * | loc_401171:  ,msvc,1
"mov esi, [ebp+var_8]  | * | inc ecx ",msvc,1
"loc_401171:   | * | mov [ebp+var_C], ecx ",msvc,1
"inc ecx  | * | cmp ecx, ebx ",msvc,1
"mov [ebp+var_C], ecx  | * | jle loc_401081 ",msvc,1
"cmp ecx, ebx  | * | loc_40117D:  ",msvc,1
"jle loc_401081  | * | mov eax, ds:?endl@std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@1@AAV21@@Z  ",msvc,1
"loc_40117D:   | * | mov ecx, [ebp+var_14] ",msvc,1
"mov eax, ds:?endl@std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@1@AAV21@@Z   | * | mov edx, [ebp+var_18] ",msvc,1
"mov ecx, [ebp+var_14]  | * | push eax ",msvc,1
"mov edx, [ebp+var_18]  | * | push ecx ",msvc,1
"push eax  | * | mov ecx, ds:?cout@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A  ",msvc,1
push ecx  | * | push edx ,msvc,1
"mov ecx, ds:?cout@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A   | * | call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@_J@Z  ",msvc,1
"push edx  | * | mov ecx, eax ",msvc,1
call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@_J@Z   | * | call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z  ,msvc,1
"mov ecx, eax  | * | pop edi ",msvc,1
call ds:??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z   | * | pop esi ,msvc,1
pop edi  | * | pop ebx ,msvc,4
"pop esi  | * | mov esp, ebp ",msvc,3
pop ebx  | * | pop ebp ,msvc,4
"mov esp, ebp  | * | retn ",msvc,10
pop ebp  | * | sub_401000 endp ,msvc,1
retn  | * | align 10h ,msvc,8
sub_401000 endp  | * | _main proc near  ,msvc,1
var_4 = dword ptr -4  | * | argv = dword ptr 0Ch ,data,1
argc = dword ptr 8  | * | envp = dword ptr 10h ,data,1
"push ebp  | * | and esp, 0FFFFFFF8h ",msvc,1
"mov ebp, esp  | * | sub esp, 8 ",msvc,2
"and esp, 0FFFFFFF8h  | * | mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A  ",msvc,1
"sub esp, 8  | * | push esi ",msvc,1
"mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A   | * | push edi ",msvc,1
"push esi  | * | lea eax, [esp+10h+var_4] ",msvc,1
push edi  | * | push eax ,msvc,1
"lea eax, [esp+10h+var_4]  | * | call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z  ",msvc,1
"push eax  | * | xor esi, esi ",msvc,1
"call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z   | * | cmp [esp+10h+var_4], esi ",msvc,1
"xor esi, esi  | * | jle short loc_401215 ",msvc,1
"cmp [esp+10h+var_4], esi  | * | mov edi, ds:printf ",msvc,1
"jle short loc_401215  | * | lea ebx, [ebx+0] ",msvc,1
"mov edi, ds:printf  | * | loc_4011E0:  ",msvc,1
"lea ebx, [ebx+0]  | * | mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A  ",msvc,1
loc_4011E0:   | * | push offset dword_403370 ,msvc,1
"mov ecx, ds:?cin@std@@3V?$basic_istream@DU?$char_traits@D@std@@@1@A   | * | push offset dword_403374 ",msvc,1
push offset dword_403370  | * | call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z  ,msvc,1
"push offset dword_403374  | * | mov ecx, eax ",msvc,1
call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z   | * | call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z  ,msvc,1
"mov ecx, eax  | * | inc esi ",msvc,1
call ds:??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@AAH@Z   | * | push esi ,msvc,1
inc esi  | * | push offset Format  ,msvc,1
push esi  | * | call edi  ,msvc,1
"push offset Format   | * | add esp, 8 ",msvc,1
call edi   | * | call sub_401000 ,msvc,1
"add esp, 8  | * | cmp esi, [esp+10h+var_4] ",msvc,1
call sub_401000  | * | jl short loc_4011E0 ,msvc,1
"cmp esi, [esp+10h+var_4]  | * | loc_401215:  ",msvc,1
jl short loc_4011E0  | * | pop edi ,msvc,1
"loc_401215:   | * | xor eax, eax ",msvc,1
pop edi  | * | pop esi ,msvc,1
"xor eax, eax  | * | mov esp, ebp ",msvc,1
pop esi  | * | pop ebp ,msvc,2
pop ebp  | * | _main endp ,msvc,1
_main endp  | * | sub_401220 proc near  ,msvc,1
var_C = dword ptr -0Ch  | * | arg_0 = dword ptr 8 ,data,1
var_8 = dword ptr -8  | * | arg_4 = dword ptr 0Ch ,data,1
arg_0 = dword ptr 8  | * | arg_8 = dword ptr 10h ,data,2
"push ebp  | * | sub esp, 10h ",msvc,1
"sub esp, 10h  | * | mov ebx, [ebp+arg_0] ",msvc,1
push ebx  | * | push esi ,msvc,1
"mov ebx, [ebp+arg_0]  | * | push edi ",msvc,1
"push esi  | * | mov edi, [ebp+arg_4] ",msvc,1
"push edi  | * | mov eax, edi ",msvc,2
"mov edi, [ebp+arg_4]  | * | sub eax, ebx ",msvc,1
"mov eax, edi  | * | sar eax, 2 ",msvc,3
"sub eax, ebx  | * | cmp eax, 20h  ",msvc,1
"sar eax, 2  | * | jle short loc_40129F ",msvc,1
"cmp eax, 20h   | * | mov esi, [ebp+arg_8] ",msvc,1
jle short loc_40129F  | * | loc_40123E:  ,msvc,1
"mov esi, [ebp+arg_8]  | * | test esi, esi ",msvc,1
loc_40123E:   | * | jle short loc_4012B8 ,msvc,1
"test esi, esi  | * | push edi ",msvc,1
"jle short loc_4012B8  | * | lea eax, [ebp+var_C] ",msvc,1
push edi  | * | push ebx ,msvc,1
"lea eax, [ebp+var_C]  | * | push eax ",msvc,1
push ebx  | * | call sub_4012F0 ,msvc,1
"push eax  | * | mov eax, esi ",msvc,1
call sub_4012F0  | * | cdq ,msvc,1
"mov eax, esi  | * | sub eax, edx ",msvc,1
"sub eax, edx  | * | mov esi, eax ",msvc,2
"sar eax, 1  | * | cdq ",msvc,1
"mov esi, eax  | * | sub eax, edx ",msvc,1
"cdq  | * | mov edx, [ebp+var_C] ",msvc,1
"sub eax, edx  | * | sar eax, 1 ",msvc,1
"mov edx, [ebp+var_C]  | * | add esi, eax ",msvc,1
"sar eax, 1  | * | mov eax, [ebp+var_8] ",msvc,1
"add esi, eax  | * | mov ecx, edi ",msvc,1
"mov eax, [ebp+var_8]  | * | sub ecx, eax ",msvc,1
"mov ecx, edi  | * | sub edx, ebx ",msvc,1
"sub ecx, eax  | * | add esp, 0Ch ",msvc,1
"sub edx, ebx  | * | and ecx, 0FFFFFFFCh ",msvc,1
"add esp, 0Ch  | * | and edx, 0FFFFFFFCh ",msvc,1
"and ecx, 0FFFFFFFCh  | * | push esi ",msvc,1
"and edx, 0FFFFFFFCh  | * | cmp edx, ecx ",msvc,1
push esi  | * | jge short loc_401286 ,msvc,1
"cmp edx, ecx  | * | mov eax, [ebp+var_C] ",msvc,1
jge short loc_401286  | * | push eax ,msvc,1
"mov eax, [ebp+var_C]  | * | push ebx ",msvc,1
push eax  | * | call sub_401220 ,msvc,1
"push ebx  | * | mov ebx, [ebp+var_8] ",msvc,1
call sub_401220  | * | jmp short loc_401290 ,msvc,1
"mov ebx, [ebp+var_8]  | * | loc_401286:  ",msvc,1
jmp short loc_401290  | * | push edi ,msvc,1
loc_401286:   | * | push eax ,msvc,1
push edi  | * | call sub_401220 ,msvc,1
"push eax  | * | mov edi, [ebp+var_C] ",msvc,1
call sub_401220  | * | loc_401290:  ,msvc,1
"mov edi, [ebp+var_C]  | * | mov eax, edi ",msvc,1
"loc_401290:   | * | sub eax, ebx ",msvc,1
"sub eax, ebx  | * | add esp, 0Ch ",msvc,1
"sar eax, 2  | * | cmp eax, 20h  ",msvc,1
"add esp, 0Ch  | * | jg short loc_40123E ",msvc,1
"cmp eax, 20h   | * | loc_40129F:  ",msvc,1
"jg short loc_40123E  | * | cmp eax, 1 ",msvc,1
loc_40129F:   | * | jle short loc_4012B1 ,msvc,1
"cmp eax, 1  | * | cmp ebx, edi ",msvc,1
jle short loc_4012B1  | * | jz short loc_4012B1 ,msvc,1
"cmp ebx, edi  | * | push edi ",msvc,1
jz short loc_4012B1  | * | call sub_4016A0 ,msvc,1
"push edi  | * | add esp, 4 ",msvc,1
call sub_4016A0  | * | loc_4012B1:  ,msvc,1
"add esp, 4  | * | pop edi ",msvc,1
loc_4012B1:   | * | pop esi ,msvc,1
pop ebp  | * | loc_4012B8:  ,msvc,1
"retn  | * | cmp eax, 20h  ",msvc,1
loc_4012B8:   | * | jle short loc_40129F ,msvc,1
"cmp eax, 20h   | * | mov ecx, edi ",msvc,1
"jle short loc_40129F  | * | sub ecx, ebx ",msvc,1
"mov ecx, edi  | * | and ecx, 0FFFFFFFCh ",msvc,1
"sub ecx, ebx  | * | cmp ecx, 4 ",msvc,1
"and ecx, 0FFFFFFFCh  | * | jle short loc_4012D2 ",msvc,1
"cmp ecx, 4  | * | mov eax, edi ",msvc,1
"jle short loc_4012D2  | * | mov ecx, ebx ",msvc,1
"mov eax, edi  | * | call sub_401560 ",msvc,1
"mov ecx, ebx  | * | loc_4012D2:  ",msvc,1
"call sub_401560  | * | mov eax, edi ",msvc,1
"loc_4012D2:   | * | mov ecx, ebx ",msvc,1
"mov eax, edi  | * | call sub_401600 ",msvc,1
"mov ecx, ebx  | * | pop edi ",msvc,1
call sub_401600  | * | pop esi ,msvc,1
pop ebp  | * | sub_401220 endp ,msvc,1
sub_401220 endp  | * | sub_4012F0 proc near  ,msvc,1
var_8 = dword ptr -8  | * | arg_0 = dword ptr 8 ,data,2
var_4 = dword ptr -4  | * | arg_4 = dword ptr 0Ch ,data,1
"push ebp  | * | mov ecx, [ebp+arg_8] ",msvc,1
"mov ecx, [ebp+arg_8]  | * | push ebx ",msvc,1
"sub esp, 8  | * | mov ebx, [ebp+arg_4] ",msvc,1
"push ebx  | * | mov eax, ecx ",msvc,1
"mov ebx, [ebp+arg_4]  | * | sub eax, ebx ",msvc,1
"mov eax, ecx  | * | sar eax, 2 ",msvc,1
"sub eax, ebx  | * | cdq ",msvc,1
"cdq  | * | sub eax, edx ",msvc,1
"push esi  | * | add ecx, 0FFFFFFFCh ",msvc,1
"sub eax, edx  | * | push edi ",msvc,1
"add ecx, 0FFFFFFFCh  | * | sar eax, 1 ",msvc,1
push edi  | * | push ecx ,msvc,1
"sar eax, 1  | * | lea esi, [ebx+eax*4] ",msvc,1
"push ecx  | * | mov ecx, ebx ",msvc,1
"lea esi, [ebx+eax*4]  | * | call sub_401430 ",msvc,1
"mov ecx, ebx  | * | add esp, 4 ",msvc,1
"call sub_401430  | * | mov eax, esi ",msvc,1
"add esp, 4  | * | lea edi, [esi+4] ",msvc,1
"mov eax, esi  | * | cmp ebx, esi ",msvc,1
"lea edi, [esi+4]  | * | jnb short loc_401337 ",msvc,1
"cmp ebx, esi  | * | loc_401325:  ",msvc,1
"jnb short loc_401337  | * | mov ecx, [eax-4] ",msvc,1
"loc_401325:   | * | mov edx, [eax] ",msvc,1
"mov ecx, [eax-4]  | * | cmp edx, ecx ",msvc,1
"mov edx, [eax]  | * | jg short loc_401337 ",msvc,1
"cmp edx, ecx  | * | jl short loc_401337 ",msvc,1
"jg short loc_401337  | * | add eax, 0FFFFFFFCh ",msvc,1
"jl short loc_401337  | * | cmp ebx, eax ",msvc,1
"add eax, 0FFFFFFFCh  | * | jb short loc_401325 ",msvc,1
"cmp ebx, eax  | * | loc_401337:  ",msvc,1
"jb short loc_401325  | * | mov esi, [ebp+arg_8] ",msvc,1
"loc_401337:   | * | cmp edi, esi ",msvc,1
"mov esi, [ebp+arg_8]  | * | jnb short loc_40134F ",msvc,1
"cmp edi, esi  | * | mov edx, [eax] ",msvc,1
jnb short loc_40134F  | * | loc_401340:  ,msvc,1
"mov edx, [eax]  | * | mov ecx, [edi] ",msvc,1
"loc_401340:   | * | cmp edx, ecx ",msvc,1
"mov ecx, [edi]  | * | jg short loc_40134F ",msvc,1
"cmp edx, ecx  | * | jl short loc_40134F ",msvc,1
"jg short loc_40134F  | * | add edi, 4 ",msvc,1
"jl short loc_40134F  | * | cmp edi, esi ",msvc,1
"add edi, 4  | * | jb short loc_401340 ",msvc,1
"cmp edi, esi  | * | loc_40134F:  ",msvc,1
"jb short loc_401340  | * | mov ecx, edi ",msvc,1
"loc_40134F:   | * | mov edx, eax ",msvc,1
"mov ecx, edi  | * | loc_401353:  ",msvc,1
"mov edx, eax  | * | cmp ecx, [ebp+arg_8] ",msvc,1
loc_401353:   | * | jnb short loc_40137D ,msvc,1
"cmp ecx, [ebp+arg_8]  | * | loc_401358:  ",msvc,1
"jnb short loc_40137D  | * | mov esi, [ecx] ",msvc,1
"loc_401358:   | * | mov ebx, [eax] ",msvc,1
"mov esi, [ecx]  | * | cmp esi, ebx ",msvc,1
"mov ebx, [eax]  | * | jg short loc_401375 ",msvc,1
"cmp esi, ebx  | * | jl short loc_40137D ",msvc,1
"jg short loc_401375  | * | mov esi, edi ",msvc,1
"jl short loc_40137D  | * | mov ebx, [esi] ",msvc,1
"mov esi, edi  | * | mov [ebp+var_4], ebx ",msvc,1
"mov ebx, [esi]  | * | mov ebx, [ecx] ",msvc,1
"mov [ebp+var_4], ebx  | * | mov [esi], ebx ",msvc,1
"mov ebx, [ecx]  | * | mov esi, [ebp+var_4] ",msvc,1
"mov [esi], ebx  | * | add edi, 4 ",msvc,1
"mov esi, [ebp+var_4]  | * | mov [ecx], esi ",msvc,1
"add edi, 4  | * | loc_401375:  ",msvc,1
"mov [ecx], esi  | * | add ecx, 4 ",msvc,1
"loc_401375:   | * | cmp ecx, [ebp+arg_8] ",msvc,1
"add ecx, 4  | * | jb short loc_401358 ",msvc,1
"cmp ecx, [ebp+arg_8]  | * | loc_40137D:  ",msvc,1
"jb short loc_401358  | * | cmp edx, [ebp+arg_4] ",msvc,1
loc_40137D:   | * | jbe short loc_4013A6 ,msvc,1
"cmp edx, [ebp+arg_4]  | * | loc_401382:  ",msvc,1
"jbe short loc_4013A6  | * | mov esi, [edx-4] ",msvc,1
"loc_401382:   | * | mov ebx, [eax] ",msvc,1
"mov esi, [edx-4]  | * | cmp ebx, esi ",msvc,1
"mov ebx, [eax]  | * | jg short loc_40139B ",msvc,1
"cmp ebx, esi  | * | jl short loc_4013A3 ",msvc,1
"jg short loc_40139B  | * | mov ebx, [edx-4] ",msvc,1
"jl short loc_4013A3  | * | mov esi, [eax-4] ",msvc,1
"mov ebx, [edx-4]  | * | sub eax, 4 ",msvc,1
"mov esi, [eax-4]  | * | mov [eax], ebx ",msvc,1
"sub eax, 4  | * | mov [edx-4], esi ",msvc,1
"mov [eax], ebx  | * | loc_40139B:  ",msvc,1
"mov [edx-4], esi  | * | add edx, 0FFFFFFFCh ",msvc,1
"loc_40139B:   | * | cmp [ebp+arg_4], edx ",msvc,1
"add edx, 0FFFFFFFCh  | * | jb short loc_401382 ",msvc,1
"cmp [ebp+arg_4], edx  | * | loc_4013A3:  ",msvc,1
"jb short loc_401382  | * | cmp edx, [ebp+arg_4] ",msvc,1
loc_4013A3:   | * | loc_4013A6:  ,msvc,1
"cmp edx, [ebp+arg_4]  | * | jnz short loc_4013E0 ",msvc,1
"loc_4013A6:   | * | cmp ecx, [ebp+arg_8] ",msvc,1
jnz short loc_4013E0  | * | jz short loc_401418 ,msvc,1
"cmp ecx, [ebp+arg_8]  | * | cmp edi, ecx ",msvc,1
jz short loc_401418  | * | jz short loc_4013B9 ,msvc,1
"cmp edi, ecx  | * | mov ebx, [edi] ",msvc,1
"jz short loc_4013B9  | * | mov esi, [eax] ",msvc,1
"mov ebx, [edi]  | * | mov [eax], ebx ",msvc,1
"mov esi, [eax]  | * | mov [edi], esi ",msvc,1
"mov [eax], ebx  | * | loc_4013B9:  ",msvc,1
"mov [edi], esi  | * | mov esi, eax ",msvc,1
"loc_4013B9:   | * | mov ebx, [esi] ",msvc,1
"mov esi, eax  | * | mov [ebp+var_4], ecx ",msvc,1
"mov ebx, [esi]  | * | mov [ebp+var_8], ebx ",msvc,1
"mov [ebp+var_4], ecx  | * | mov ebx, [ebp+var_4] ",msvc,1
"mov [ebp+var_8], ebx  | * | mov ebx, [ebx] ",msvc,1
"mov ebx, [ebp+var_4]  | * | mov [esi], ebx ",msvc,1
"mov ebx, [ebx]  | * | mov esi, [ebp+var_8] ",msvc,1
"mov [esi], ebx  | * | mov ebx, [ebp+var_4] ",msvc,1
"mov esi, [ebp+var_8]  | * | add edi, 4 ",msvc,1
"mov ebx, [ebp+var_4]  | * | add eax, 4 ",msvc,1
"add edi, 4  | * | add ecx, 4 ",msvc,1
"add eax, 4  | * | mov [ebx], esi ",msvc,1
"add ecx, 4  | * | jmp loc_401353 ",msvc,1
"mov [ebx], esi  | * | loc_4013E0:  ",msvc,1
"jmp loc_401353  | * | sub edx, 4 ",msvc,1
"loc_4013E0:   | * | cmp ecx, [ebp+arg_8] ",msvc,1
"sub edx, 4  | * | jnz short loc_401408 ",msvc,1
"cmp ecx, [ebp+arg_8]  | * | sub eax, 4 ",msvc,1
"jnz short loc_401408  | * | cmp edx, eax ",msvc,1
"sub eax, 4  | * | jz short loc_4013F7 ",msvc,1
"cmp edx, eax  | * | mov ebx, [eax] ",msvc,1
"jz short loc_4013F7  | * | mov esi, [edx] ",msvc,1
"mov ebx, [eax]  | * | mov [edx], ebx ",msvc,1
"mov esi, [edx]  | * | mov [eax], esi ",msvc,1
"mov [edx], ebx  | * | loc_4013F7:  ",msvc,1
"mov [eax], esi  | * | mov ebx, [edi-4] ",msvc,1
"loc_4013F7:   | * | mov esi, [eax] ",msvc,1
"mov ebx, [edi-4]  | * | sub edi, 4 ",msvc,1
"mov esi, [eax]  | * | mov [eax], ebx ",msvc,1
"sub edi, 4  | * | mov [edi], esi ",msvc,1
"mov [eax], ebx  | * | jmp loc_401353 ",msvc,1
"mov [edi], esi  | * | loc_401408:  ",msvc,1
"jmp loc_401353  | * | mov esi, [ecx] ",msvc,1
"loc_401408:   | * | mov ebx, [edx] ",msvc,1
"mov esi, [ecx]  | * | mov [ecx], ebx ",msvc,1
"mov ebx, [edx]  | * | mov [edx], esi ",msvc,1
"mov [ecx], ebx  | * | add ecx, 4 ",msvc,1
"mov [edx], esi  | * | jmp loc_401353 ",msvc,1
