idiom,label,count
var_A = byte ptr -0Ah  | * | var_8 = dword ptr -8 ,data,1
var_2F8 = qword ptr -2F8h  | * | var_2E8 = qword ptr -2E8h ,data,1
var_2F0 = qword ptr -2F0h  | * | var_2D0 = qword ptr -2D0h ,data,1
var_2E8 = qword ptr -2E8h  | * | var_2C8 = qword ptr -2C8h ,data,1
var_2D0 = qword ptr -2D0h  | * | var_2C0 = qword ptr -2C0h ,data,1
var_2C8 = qword ptr -2C8h  | * | var_2B8 = qword ptr -2B8h ,data,1
var_2C0 = qword ptr -2C0h  | * | var_2B0 = qword ptr -2B0h ,data,2
var_2B8 = qword ptr -2B8h  | * | var_2A8 = qword ptr -2A8h ,data,2
var_2B0 = qword ptr -2B0h  | * | var_2A0 = qword ptr -2A0h ,data,2
var_2A8 = qword ptr -2A8h  | * | var_298 = qword ptr -298h ,data,2
var_2A0 = qword ptr -2A0h  | * | var_290 = qword ptr -290h ,data,2
var_298 = qword ptr -298h  | * | var_288 = qword ptr -288h ,data,2
var_290 = qword ptr -290h  | * | var_280 = qword ptr -280h ,data,1
var_288 = qword ptr -288h  | * | var_278 = qword ptr -278h ,data,2
var_280 = qword ptr -280h  | * | var_270 = qword ptr -270h ,data,1
var_278 = qword ptr -278h  | * | var_268 = qword ptr -268h ,data,2
var_270 = qword ptr -270h  | * | var_260 = qword ptr -260h ,data,1
var_268 = qword ptr -268h  | * | var_258 = qword ptr -258h ,data,1
var_260 = qword ptr -260h  | * | var_250 = qword ptr -250h ,data,1
var_258 = qword ptr -258h  | * | var_248 = qword ptr -248h ,data,1
var_250 = qword ptr -250h  | * | var_240 = qword ptr -240h ,data,1
var_248 = qword ptr -248h  | * | var_238 = qword ptr -238h ,data,2
var_240 = qword ptr -240h  | * | var_230 = qword ptr -230h ,data,2
var_238 = qword ptr -238h  | * | var_228 = qword ptr -228h ,data,2
var_230 = qword ptr -230h  | * | var_220 = qword ptr -220h ,data,1
var_228 = qword ptr -228h  | * | var_218 = qword ptr -218h ,data,2
var_220 = qword ptr -220h  | * | var_210 = qword ptr -210h ,data,1
var_218 = qword ptr -218h  | * | var_208 = qword ptr -208h ,data,2
var_210 = qword ptr -210h  | * | var_200 = qword ptr -200h ,data,2
var_208 = qword ptr -208h  | * | var_1F8 = qword ptr -1F8h ,data,2
var_200 = qword ptr -200h  | * | var_1F0 = qword ptr -1F0h ,data,2
var_1F8 = qword ptr -1F8h  | * | var_1E8 = qword ptr -1E8h ,data,2
var_1F0 = qword ptr -1F0h  | * | var_1E0 = qword ptr -1E0h ,data,2
var_1E8 = qword ptr -1E8h  | * | var_1D8 = qword ptr -1D8h ,data,3
var_1E0 = qword ptr -1E0h  | * | var_1D0 = qword ptr -1D0h ,data,3
var_1D8 = qword ptr -1D8h  | * | var_1C8 = qword ptr -1C8h ,data,2
var_1D0 = qword ptr -1D0h  | * | var_1C0 = qword ptr -1C0h ,data,3
var_1C8 = qword ptr -1C8h  | * | var_1B8 = qword ptr -1B8h ,data,2
var_1C0 = qword ptr -1C0h  | * | var_1B0 = qword ptr -1B0h ,data,2
var_1B8 = qword ptr -1B8h  | * | var_1A8 = qword ptr -1A8h ,data,3
var_1B0 = qword ptr -1B0h  | * | var_1A0 = qword ptr -1A0h ,data,2
var_1A8 = qword ptr -1A8h  | * | var_198 = qword ptr -198h ,data,3
var_1A0 = qword ptr -1A0h  | * | var_190 = qword ptr -190h ,data,2
var_198 = qword ptr -198h  | * | var_188 = qword ptr -188h ,data,3
var_190 = qword ptr -190h  | * | var_180 = qword ptr -180h ,data,2
var_188 = qword ptr -188h  | * | var_178 = qword ptr -178h ,data,4
var_180 = qword ptr -180h  | * | var_170 = qword ptr -170h ,data,2
var_178 = qword ptr -178h  | * | var_168 = qword ptr -168h ,data,4
var_170 = qword ptr -170h  | * | var_160 = qword ptr -160h ,data,2
var_168 = qword ptr -168h  | * | var_158 = qword ptr -158h ,data,5
var_160 = qword ptr -160h  | * | var_150 = qword ptr -150h ,data,5
var_158 = qword ptr -158h  | * | var_148 = qword ptr -148h ,data,6
var_150 = qword ptr -150h  | * | var_140 = qword ptr -140h ,data,5
var_148 = qword ptr -148h  | * | var_138 = qword ptr -138h ,data,4
var_140 = qword ptr -140h  | * | var_130 = qword ptr -130h ,data,5
var_138 = qword ptr -138h  | * | var_128 = qword ptr -128h ,data,5
var_130 = qword ptr -130h  | * | var_120 = qword ptr -120h ,data,7
var_128 = qword ptr -128h  | * | var_118 = qword ptr -118h ,data,9
var_120 = qword ptr -120h  | * | var_110 = qword ptr -110h ,data,7
var_118 = qword ptr -118h  | * | var_100 = qword ptr -100h ,data,1
var_110 = qword ptr -110h  | * | var_F8 = qword ptr -0F8h ,data,1
var_100 = qword ptr -100h  | * | var_F0 = byte ptr -0F0h ,data,1
var_F8 = qword ptr -0F8h  | * | var_E8 = qword ptr -0E8h ,data,9
var_F0 = byte ptr -0F0h  | * | var_E0 = qword ptr -0E0h ,data,1
var_E8 = qword ptr -0E8h  | * | var_D8 = qword ptr -0D8h ,data,11
var_E0 = qword ptr -0E0h  | * | var_D0 = qword ptr -0D0h ,data,12
var_D8 = qword ptr -0D8h  | * | var_C8 = qword ptr -0C8h ,data,12
var_D0 = qword ptr -0D0h  | * | var_C0 = qword ptr -0C0h ,data,9
var_C8 = qword ptr -0C8h  | * | var_B8 = qword ptr -0B8h ,data,13
var_C0 = qword ptr -0C0h  | * | var_B0 = qword ptr -0B0h ,data,10
var_B8 = qword ptr -0B8h  | * | var_A8 = qword ptr -0A8h ,data,14
var_B0 = qword ptr -0B0h  | * | var_A0 = qword ptr -0A0h ,data,14
var_A8 = qword ptr -0A8h  | * | var_98 = qword ptr -98h ,data,13
var_A0 = qword ptr -0A0h  | * | var_90 = qword ptr -90h ,data,11
var_98 = qword ptr -98h  | * | var_88 = qword ptr -88h ,data,14
var_90 = qword ptr -90h  | * | var_80 = qword ptr -80h ,data,9
var_88 = qword ptr -88h  | * | var_78 = qword ptr -78h ,data,14
var_80 = qword ptr -80h  | * | var_70 = qword ptr -70h ,data,11
var_78 = qword ptr -78h  | * | var_68 = qword ptr -68h ,data,13
var_70 = qword ptr -70h  | * | var_60 = qword ptr -60h ,data,8
var_68 = qword ptr -68h  | * | var_58 = qword ptr -58h ,data,14
var_60 = qword ptr -60h  | * | var_50 = qword ptr -50h ,data,12
var_58 = qword ptr -58h  | * | var_48 = qword ptr -48h ,data,14
var_50 = qword ptr -50h  | * | var_40 = qword ptr -40h ,data,14
var_48 = qword ptr -48h  | * | var_38 = qword ptr -38h ,data,13
var_40 = qword ptr -40h  | * | var_30 = qword ptr -30h ,data,9
var_38 = qword ptr -38h  | * | var_28 = qword ptr -28h ,data,14
var_30 = qword ptr -30h  | * | var_20 = qword ptr -20h ,data,8
var_28 = qword ptr -28h  | * | var_18 = qword ptr -18h ,data,13
var_20 = qword ptr -20h  | * | var_10 = qword ptr -10h ,data,15
var_18 = qword ptr -18h  | * | var_8 = qword ptr -8 ,data,15
"push rbp  | * | sub rsp, 4A0h ",xcode,1
"mov rbp, rsp  | * | mov rdi, cs:__ZNSt3__13cinE_ptr ",xcode,1
"sub rsp, 4A0h  | * | lea rsi, [rbp+var_3E4] ",xcode,1
"mov rdi, cs:__ZNSt3__13cinE_ptr  | * | mov [rbp+var_3E0], 0 ",xcode,1
"lea rsi, [rbp+var_3E4]  | * | call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi  ",xcode,1
"mov [rbp+var_3E0], 0  | * | mov [rbp+var_3E8], 1 ",xcode,1
"call __ZNSt3__113basic_istreamIcNS_11char_traitsIcEEErsERi   | * | mov [rbp+var_420], rax ",xcode,1
"mov [rbp+var_3E8], 1  | * | loc_1000009A9:  ",xcode,1
"mov [rbp+var_420], rax  | * | mov eax, [rbp+var_3E8] ",xcode,1
"loc_1000009A9:   | * | cmp eax, [rbp+var_3E4] ",xcode,1
"mov eax, [rbp+var_3E8]  | * | jg loc_1000013B7 ",xcode,1
"cmp eax, [rbp+var_3E4]  | * | lea rdi, aD  ",xcode,1
"jg loc_1000013B7  | * | lea rsi, _n ",xcode,1
"lea rdi, aD   | * | mov al, 0 ",xcode,1
"lea rsi, _n  | * | call _scanf ",xcode,1
"mov al, 0  | * | mov [rbp+var_3EC], 0 ",xcode,1
"call _scanf  | * | mov [rbp+var_424], eax ",xcode,1
"mov [rbp+var_3EC], 0  | * | loc_1000009E0:  ",xcode,1
"mov [rbp+var_424], eax  | * | mov eax, [rbp+var_3EC] ",xcode,1
"loc_1000009E0:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_3EC]  | * | jge loc_100000A34 ",xcode,1
"cmp eax, cs:_n  | * | lea rdi, aD  ",xcode,2
"jge loc_100000A34  | * | lea rax, _x ",xcode,1
"lea rdi, aD   | * | movsxd rcx, [rbp+var_3EC] ",xcode,1
"lea rax, _x  | * | shl rcx, 2 ",xcode,1
"movsxd rcx, [rbp+var_3EC]  | * | add rax, rcx ",xcode,1
"shl rcx, 2  | * | mov rsi, rax ",xcode,2
"add rax, rcx  | * | mov al, 0 ",xcode,2
"mov rsi, rax  | * | call _scanf ",xcode,2
"mov al, 0  | * | mov [rbp+var_428], eax ",xcode,1
"call _scanf  | * | mov eax, [rbp+var_3EC] ",xcode,1
"mov [rbp+var_428], eax  | * | add eax, 1 ",xcode,1
"mov eax, [rbp+var_3EC]  | * | mov [rbp+var_3EC], eax ",xcode,1
"add eax, 1  | * | jmp loc_1000009E0 ",xcode,1
"mov [rbp+var_3EC], eax  | * | loc_100000A34:  ",xcode,1
"jmp loc_1000009E0  | * | lea rax, _v ",xcode,1
"loc_100000A34:   | * | mov [rbp+var_3D0], rax ",xcode,1
"lea rax, _v  | * | mov rax, [rbp+var_3D0] ",xcode,1
"mov [rbp+var_3D0], rax  | * | mov rcx, rax ",xcode,1
"mov rax, [rbp+var_3D0]  | * | mov [rbp+var_3C8], rcx ",xcode,1
"mov rcx, rax  | * | mov rcx, [rbp+var_3C8] ",xcode,1
"mov [rbp+var_3C8], rcx  | * | mov rdx, [rcx] ",xcode,1
"mov rcx, [rbp+var_3C8]  | * | mov [rbp+var_3A8], rcx ",xcode,1
"mov rdx, [rcx]  | * | mov [rbp+var_3B0], rdx ",xcode,1
"mov [rbp+var_3A8], rcx  | * | mov rcx, [rbp+var_3A8] ",xcode,1
"mov [rbp+var_3B0], rdx  | * | mov [rbp+var_430], rax ",xcode,1
"mov rcx, [rbp+var_3A8]  | * | mov [rbp+var_438], rcx ",xcode,1
"mov [rbp+var_430], rax  | * | loc_100000A80:  ",xcode,1
"mov [rbp+var_438], rcx  | * | mov rax, [rbp+var_3B0] ",xcode,1
"loc_100000A80:   | * | mov rcx, [rbp+var_438] ",xcode,1
"mov rax, [rbp+var_3B0]  | * | cmp rax, [rcx+8] ",xcode,1
"mov rcx, [rbp+var_438]  | * | jz loc_100000B1C ",xcode,1
"cmp rax, [rcx+8]  | * | mov rax, [rbp+var_438] ",xcode,1
"jz loc_100000B1C  | * | mov [rbp+var_3A0], rax ",xcode,1
"mov rax, [rbp+var_438]  | * | mov rcx, [rbp+var_3A0] ",xcode,1
"mov [rbp+var_3A0], rax  | * | add rcx, 10h ",xcode,1
"mov rcx, [rbp+var_3A0]  | * | mov [rbp+var_398], rcx ",xcode,1
"add rcx, 10h  | * | mov rcx, [rbp+var_398] ",xcode,1
"mov [rbp+var_398], rcx  | * | mov [rbp+var_390], rcx ",xcode,1
"mov rcx, [rbp+var_398]  | * | mov rcx, [rbp+var_390] ",xcode,1
"mov [rbp+var_390], rcx  | * | mov rdx, [rax+8] ",xcode,1
"mov rcx, [rbp+var_390]  | * | add rdx, 0FFFFFFFFFFFFFFFCh ",xcode,1
"mov rdx, [rax+8]  | * | mov [rax+8], rdx ",xcode,3
"add rdx, 0FFFFFFFFFFFFFFFCh  | * | mov [rbp+var_358], rdx ",xcode,1
"mov [rax+8], rdx  | * | mov rdx, [rbp+var_358] ",xcode,1
"mov [rbp+var_358], rdx  | * | mov [rbp+var_370], rcx ",xcode,1
"mov rdx, [rbp+var_358]  | * | mov [rbp+var_378], rdx ",xcode,1
"mov [rbp+var_370], rcx  | * | mov rcx, [rbp+var_370] ",xcode,1
"mov [rbp+var_378], rdx  | * | mov rdx, [rbp+var_378] ",xcode,1
"mov rcx, [rbp+var_370]  | * | mov [rbp+var_360], rcx ",xcode,1
"mov rdx, [rbp+var_378]  | * | mov [rbp+var_368], rdx ",xcode,1
"mov [rbp+var_360], rcx  | * | jmp loc_100000A80 ",xcode,1
"mov [rbp+var_368], rdx  | * | loc_100000B1C:  ",xcode,1
"jmp loc_100000A80  | * | lea rax, _w ",xcode,1
"loc_100000B1C:   | * | mov rcx, [rbp+var_430] ",xcode,1
"lea rax, _w  | * | mov [rbp+var_350], rcx ",xcode,1
"mov rcx, [rbp+var_430]  | * | mov [rbp+var_328], rax ",xcode,1
"mov [rbp+var_350], rcx  | * | mov rax, [rbp+var_328] ",xcode,1
"mov [rbp+var_328], rax  | * | mov rdx, rax ",xcode,1
"mov rax, [rbp+var_328]  | * | mov [rbp+var_320], rdx ",xcode,1
"mov rdx, rax  | * | mov rdx, [rbp+var_320] ",xcode,1
"mov [rbp+var_320], rdx  | * | mov rsi, [rdx] ",xcode,1
"mov rdx, [rbp+var_320]  | * | mov [rbp+var_300], rdx ",xcode,1
"mov rsi, [rdx]  | * | mov [rbp+var_308], rsi ",xcode,1
"mov [rbp+var_300], rdx  | * | mov rdx, [rbp+var_300] ",xcode,1
"mov [rbp+var_308], rsi  | * | mov [rbp+var_440], rax ",xcode,1
"mov rdx, [rbp+var_300]  | * | mov [rbp+var_448], rdx ",xcode,1
"mov [rbp+var_440], rax  | * | loc_100000B76:  ",xcode,1
"mov [rbp+var_448], rdx  | * | mov rax, [rbp+var_308] ",xcode,1
"loc_100000B76:   | * | mov rcx, [rbp+var_448] ",xcode,1
"mov rax, [rbp+var_308]  | * | cmp rax, [rcx+8] ",xcode,1
"mov rcx, [rbp+var_448]  | * | jz loc_100000C12 ",xcode,1
"cmp rax, [rcx+8]  | * | mov rax, [rbp+var_448] ",xcode,1
"jz loc_100000C12  | * | mov [rbp+var_2F8], rax ",xcode,1
"mov rax, [rbp+var_448]  | * | mov rcx, [rbp+var_2F8] ",xcode,1
"mov [rbp+var_2F8], rax  | * | add rcx, 10h ",xcode,1
"mov rcx, [rbp+var_2F8]  | * | mov [rbp+var_2F0], rcx ",xcode,1
"add rcx, 10h  | * | mov rcx, [rbp+var_2F0] ",xcode,1
"mov [rbp+var_2F0], rcx  | * | mov [rbp+var_2E8], rcx ",xcode,1
"mov rcx, [rbp+var_2F0]  | * | mov rcx, [rbp+var_2E8] ",xcode,1
"mov [rbp+var_2E8], rcx  | * | mov rdx, [rax+8] ",xcode,1
"mov rcx, [rbp+var_2E8]  | * | add rdx, 0FFFFFFFFFFFFFFFCh ",xcode,1
"add rdx, 0FFFFFFFFFFFFFFFCh  | * | mov [rbp+var_2B0], rdx ",xcode,1
"mov [rax+8], rdx  | * | mov rdx, [rbp+var_2B0] ",xcode,1
"mov [rbp+var_2B0], rdx  | * | mov [rbp+var_2C8], rcx ",xcode,1
"mov rdx, [rbp+var_2B0]  | * | mov [rbp+var_2D0], rdx ",xcode,1
"mov [rbp+var_2C8], rcx  | * | mov rcx, [rbp+var_2C8] ",xcode,1
"mov [rbp+var_2D0], rdx  | * | mov rdx, [rbp+var_2D0] ",xcode,1
"mov rcx, [rbp+var_2C8]  | * | mov [rbp+var_2B8], rcx ",xcode,1
"mov rdx, [rbp+var_2D0]  | * | mov [rbp+var_2C0], rdx ",xcode,1
"mov [rbp+var_2B8], rcx  | * | jmp loc_100000B76 ",xcode,1
"mov [rbp+var_2C0], rdx  | * | loc_100000C12:  ",xcode,1
"jmp loc_100000B76  | * | mov rax, [rbp+var_440] ",xcode,1
"loc_100000C12:   | * | mov [rbp+var_2A8], rax ",xcode,1
"mov rax, [rbp+var_440]  | * | mov [rbp+var_3F0], 0 ",xcode,1
"mov [rbp+var_2A8], rax  | * | loc_100000C2A:  ",xcode,1
"mov [rbp+var_3F0], 0  | * | mov eax, [rbp+var_3F0] ",xcode,1
"loc_100000C2A:   | * | cmp eax, cs:_n ",xcode,1
"mov eax, [rbp+var_3F0]  | * | jge loc_100000F26 ",xcode,1
"jge loc_100000F26  | * | lea rax, _y ",xcode,1
"lea rdi, aD   | * | movsxd rcx, [rbp+var_3F0] ",xcode,1
"lea rax, _y  | * | shl rcx, 2 ",xcode,1
"movsxd rcx, [rbp+var_3F0]  | * | add rax, rcx ",xcode,1
"mov al, 0  | * | lea rcx, _y ",xcode,1
"call _scanf  | * | movsxd rsi, [rbp+var_3F0] ",xcode,1
"lea rcx, _y  | * | cmp dword ptr [rcx+rsi*4], 0 ",xcode,1
"movsxd rsi, [rbp+var_3F0]  | * | mov [rbp+var_44C], eax ",xcode,1
"cmp dword ptr [rcx+rsi*4], 0  | * | jnz loc_100000DC7 ",xcode,1
"mov [rbp+var_44C], eax  | * | lea rax, [rbp+var_3F0] ",xcode,1
"jnz loc_100000DC7  | * | lea rcx, _v ",xcode,1
"lea rax, [rbp+var_3F0]  | * | mov [rbp+var_268], rcx ",xcode,1
"lea rcx, _v  | * | mov [rbp+var_270], rax ",xcode,1
"mov [rbp+var_268], rcx  | * | mov rax, [rbp+var_268] ",xcode,1
"mov [rbp+var_270], rax  | * | mov rcx, [rax+8] ",xcode,1
"mov rax, [rbp+var_268]  | * | mov rdx, rax ",xcode,1
"mov rcx, [rax+8]  | * | mov [rbp+var_260], rdx ",xcode,1
"mov rdx, rax  | * | mov rdx, [rbp+var_260] ",xcode,1
"mov [rbp+var_260], rdx  | * | add rdx, 10h ",xcode,1
"mov rdx, [rbp+var_260]  | * | mov [rbp+var_258], rdx ",xcode,1
"add rdx, 10h  | * | mov rdx, [rbp+var_258] ",xcode,1
"mov [rbp+var_258], rdx  | * | mov [rbp+var_250], rdx ",xcode,1
"mov rdx, [rbp+var_258]  | * | mov rdx, [rbp+var_250] ",xcode,1
"mov [rbp+var_250], rdx  | * | cmp rcx, [rdx] ",xcode,1
"mov rdx, [rbp+var_250]  | * | mov [rbp+var_458], rax ",xcode,1
"cmp rcx, [rdx]  | * | jz loc_100000DAF ",xcode,1
"mov [rbp+var_458], rax  | * | mov rax, [rbp+var_458] ",xcode,1
"jz loc_100000DAF  | * | mov [rbp+var_248], rax ",xcode,1
"mov rax, [rbp+var_458]  | * | mov rax, [rbp+var_248] ",xcode,1
"mov [rbp+var_248], rax  | * | add rax, 10h ",xcode,1
"mov rax, [rbp+var_248]  | * | mov [rbp+var_240], rax ",xcode,1
"add rax, 10h  | * | mov rax, [rbp+var_240] ",xcode,1
"mov [rbp+var_240], rax  | * | mov [rbp+var_238], rax ",xcode,1
"mov rax, [rbp+var_240]  | * | mov rax, [rbp+var_238] ",xcode,1
"mov [rbp+var_238], rax  | * | mov rcx, [rbp+var_458] ",xcode,1
"mov rax, [rbp+var_238]  | * | mov rdx, [rcx+8] ",xcode,1
"mov rcx, [rbp+var_458]  | * | mov [rbp+var_218], rdx ",xcode,1
"mov rdx, [rcx+8]  | * | mov rdx, [rbp+var_218] ",xcode,1
"mov [rbp+var_218], rdx  | * | mov rsi, [rbp+var_270] ",xcode,1
"mov rdx, [rbp+var_218]  | * | mov [rbp+var_220], rax ",xcode,1
